original	compiler	native	status
Activate	Aktiviraj	Aktiviraj	existing-unreviewed
ActivateAll	AktivirajSve	AktivirajSve	existing-unreviewed
Active	Active	Active	existing-unreviewed
ActiveInterruptManager	Activeinterruptmanager	Activeinterruptmanager	existing-unreviewed
ActiveMemoryManager	ActiveMemorijamanager	ActiveMemorijamanager	existing-unreviewed
Add	Dodaj	Dodaj	existing-unreviewed
AddDriver	Dodajdriver	Dodajdriver	existing-unreviewed
AddRunnableThread	Dodajrunnablethread	Dodajrunnablethread	existing-unreviewed
AddTask	Dodajtask	Dodajtask	existing-unreviewed
AddThread	Dodajthread	Dodajthread	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	Allocateblok	Allocateblok	existing-unreviewed
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed
AmountOfMemory	IznosofMemorija	IznosofMemorija	existing-unreviewed
ArrayToUint16	Arraytounsignedinteger16	Arraytounsignedinteger16	existing-unreviewed
ArrayToUint32	Arraytounsignedinteger32	Arraytounsignedinteger32	existing-unreviewed
ArrayToUint48	Arraytounsignedinteger48	Arraytounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	Arraytounsignedinteger48be	Arraytounsignedinteger48be	existing-unreviewed
ArrayToUint64	Arraytounsignedinteger64	Arraytounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	Blokperbyte	Blokperbyte	existing-unreviewed
BLOCK_SIZE	BlokVeličina	BlokVeličina	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bind	Bind	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	Blockedstate	Blockedstate	existing-unreviewed
Blocks	Blok	Blok	existing-unreviewed
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	Bajtovapersector	Bajtovapersector	existing-unreviewed
BytesToString	BajtovatoNIZ	BajtovatoNIZ	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	Obriši	Obriši	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddressspacecow	Cloneaddressspacecow	existing-unreviewed
Connect	Spojise	Spojise	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	KopirajStranicaOkvirblok	KopirajStranicaOkvirblok	existing-unreviewed
CpuState	Cpustate	Cpustate	existing-unreviewed
Create	Create	Create	existing-unreviewed
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed
CreateFromFunction	CreatefromFunkcija	CreatefromFunkcija	existing-unreviewed
CreatePtrFromFunction	CreatepointerfromFunkcija	CreatepointerfromFunkcija	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	Currentpid	Currentpid	existing-unreviewed
CurrentParentPID	Currentparentpid	Currentparentpid	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	Deaktiviraj	Deaktiviraj	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	Obriši_2	Obriši_2	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
DescriptorType	DescriptorTip	DescriptorTip	existing-unreviewed
Destroy	Destroy	Destroy	existing-unreviewed
Dev	Uređaj	Uređaj	existing-unreviewed
DeviceHasFunctions	UređajhasFunkcije	UređajhasFunkcije	existing-unreviewed
DeviceNotAvailable	UređajnotDostupan	UređajnotDostupan	existing-unreviewed
Device_id	Uređajid	Uređajid	existing-unreviewed
DisableInt	Disableint	Disableint	existing-unreviewed
Disconnect	Prekinivezu	Prekinivezu	existing-unreviewed
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed
DoHandleInterrupt	Dohandleinterrupt	Dohandleinterrupt	existing-unreviewed
DoubleFault	Doublefault	Doublefault	existing-unreviewed
Draw	Draw	Draw	existing-unreviewed
DriverManager	Drivermanager	Drivermanager	existing-unreviewed
Ds	Ds	Ds	existing-unreviewed
