before	after
asm/constante.inc	arranque_de_máquina/constante.inc
asm/gdt.inc	arranque_de_máquina/gdt.inc
asm/goasmDesplazamiento.inc	arranque_de_máquina/goasmDesplazamiento.inc
asm/multibootencabezado.s	arranque_de_máquina/multibootencabezado.s
asm/rt0.s	arranque_de_máquina/rt0.s
go.sh	compilar_núcleo.sh
linker.ld	disposición_de_enlace.ld
src/archivosistema/elf/elf.go	src/archivosistema/formato_ejecutable_y_enlazable/formato_ejecutable_y_enlazable.go
src/archivosistema/elf/elfencabezado.go	src/archivosistema/formato_ejecutable_y_enlazable/elfencabezado.go
src/archivosistema/elf/elfsección.go	src/archivosistema/formato_ejecutable_y_enlazable/elfsección.go
src/archivosistema/elf/enlacemapa.go	src/archivosistema/formato_ejecutable_y_enlazable/enlacemapa.go
src/componente/componente.go	src/elemento_de_pantalla/elemento_de_pantalla.go
src/controlador/ratón/ratón.go	src/controlador/dispositivo_señalador/dispositivo_señalador.go
src/ethernettrama/ethernettrama.go	src/trama_de_la_red_de_medio_compartido/trama_de_la_red_de_medio_compartido.go
src/icmp/icmp.go	src/protocolo_de_mensajes_de_control_de_red_interconectada/protocolo_de_mensajes_de_control_de_red_interconectada.go
src/ipv4/ipv4.go	src/protocolo_de_red_interconectada_4/protocolo_de_red_interconectada_4.go
src/udp/udp.go	src/protocolo_de_datagramas_de_usuario/protocolo_de_datagramas_de_usuario.go
tools/decode-virtualbox-log.sh	herramientas/interpretar_registro_serie.sh
tools/offsets.go	herramientas/desplazamientos_de_estructura.go
userland/posix/Makefile	espacio_de_usuario/posix/Makefile
userland/posix/TEST_RESULTS.md	espacio_de_usuario/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	espacio_de_usuario/posix/declaraciones/arpa/inet.h
userland/posix/include/engos/syscall.h	espacio_de_usuario/posix/declaraciones/engos/syscall.h
userland/posix/include/errno.h	espacio_de_usuario/posix/declaraciones/errno.h
userland/posix/include/fcntl.h	espacio_de_usuario/posix/declaraciones/fcntl.h
userland/posix/include/netinet/in.h	espacio_de_usuario/posix/declaraciones/netinet/in.h
userland/posix/include/stddef.h	espacio_de_usuario/posix/declaraciones/stddef.h
userland/posix/include/stdint.h	espacio_de_usuario/posix/declaraciones/stdint.h
userland/posix/include/sys/socket.h	espacio_de_usuario/posix/declaraciones/sys/socket.h
userland/posix/include/sys/stat.h	espacio_de_usuario/posix/declaraciones/sys/stat.h
userland/posix/include/sys/types.h	espacio_de_usuario/posix/declaraciones/sys/types.h
userland/posix/include/sys/utsname.h	espacio_de_usuario/posix/declaraciones/sys/utsname.h
userland/posix/include/sys/wait.h	espacio_de_usuario/posix/declaraciones/sys/wait.h
userland/posix/include/unistd.h	espacio_de_usuario/posix/declaraciones/unistd.h
userland/posix/linker.ld	espacio_de_usuario/posix/disposición_de_enlace.ld
userland/posix/src/crt0.S	espacio_de_usuario/posix/implementación/arranque.S
userland/posix/src/errno.c	espacio_de_usuario/posix/implementación/número_de_error.c
userland/posix/src/fcntl.c	espacio_de_usuario/posix/implementación/control_de_archivo.c
userland/posix/src/socket.c	espacio_de_usuario/posix/implementación/socket.c
userland/posix/src/stat.c	espacio_de_usuario/posix/implementación/estado_de_archivo.c
userland/posix/src/syscall.S	espacio_de_usuario/posix/implementación/llamada_al_sistema.S
userland/posix/src/unistd.c	espacio_de_usuario/posix/implementación/unistd.c
userland/posix/tests/compile.c	espacio_de_usuario/posix/pruebas/compile.c
userland/posix/tests/exec_runtime.c	espacio_de_usuario/posix/pruebas/exec_runtime.c
userland/posix/tests/exec_target.c	espacio_de_usuario/posix/pruebas/exec_target.c
userland/posix/tests/fork_runtime.c	espacio_de_usuario/posix/pruebas/fork_runtime.c
userland/posix/tests/heap_runtime.c	espacio_de_usuario/posix/pruebas/heap_runtime.c
userland/posix/tests/runtime.c	espacio_de_usuario/posix/pruebas/runtime.c
userland/posix/tests/socket_runtime.c	espacio_de_usuario/posix/pruebas/socket_runtime.c
userland/posix/tests/stdin_runtime.c	espacio_de_usuario/posix/pruebas/stdin_runtime.c
