concept	native_phrase_or_english_fallback	code_spelling	status	rationale
allocate_memory	allouer la mémoire	allouer_la_mémoire	project-proposal	function-based project proposal
append	ajouter en fin de liste	ajouter_en_fin_de_liste	project-proposal	src/util/list/list.go: links after tail; back is not undo
bitmap	carte des allocations	carte_des_allocations	project-proposal	function-based project proposal
boot	démarrage machine	démarrage_machine	project-proposal	function-based project proposal
boot_record	enregistrement principal de démarrage	enregistrement_principal_de_démarrage	project-proposal	boot code and partition metadata, not an audio recording
bus	voie de transmission partagée	voie_de_transmission_partagée	project-proposal	function-based project proposal
compile_kernel	compiler le noyau	compiler_le_noyau	project-proposal	function-based project proposal
destination_port	numéro du port destination	numéro_du_port_destination	project-proposal	function-based project proposal
elf	format exécutable et liable	format_exécutable_et_liable	project-proposal	Executable AND Linkable Format; preserve both roles
error_number	numéro erreur	numéro_erreur	project-proposal	function-based project proposal
ethernet_frame	trame du réseau à support partagé	trame_du_réseau_à_support_partagé	project-proposal	Ethernet shared-medium history; not a claim that all modern links share a medium
ethernet_header	entête de trame du réseau à support partagé	entête_de_trame_du_réseau_à_support_partagé	project-proposal	function-based project proposal
ethernet_provider	fournisseur de trames du réseau à support partagé	fournisseur_de_trames_du_réseau_à_support_partagé	project-proposal	function-based project proposal
fat_parameters	paramètres du système de fichiers	paramètres_du_système_de_fichiers	project-proposal	FAT layout parameters, not a generic BIOS data block
file_control	contrôle de fichier	contrôle_de_fichier	project-proposal	function-based project proposal
file_read	lire le fichier	lire_le_fichier	project-proposal	function-based project proposal
file_status	état de fichier	état_de_fichier	project-proposal	function-based project proposal
file_write	écrire le fichier	écrire_le_fichier	project-proposal	function-based project proposal
free_memory	libérer la mémoire	libérer_la_mémoire	project-proposal	function-based project proposal
headers	déclarations	déclarations	project-proposal	function-based project proposal
heap	mémoire dynamique	mémoire_dynamique	project-proposal	function-based project proposal
icmp	protocole des messages de contrôle du réseau interconnecté	protocole_des_messages_de_contrôle_du_réseau_interconnecté	project-proposal	function-based project proposal
implementation	implémentation	implémentation	project-proposal	function-based project proposal
insert_at	insérer à la position	insérer_à_la_position	project-proposal	src/util/list/list.go: insertion at zero-based index
internet	réseau interconnecté	réseau_interconnecté	project-proposal	function-based project proposal
ip_provider	fournisseur du protocole du réseau interconnecté	fournisseur_du_protocole_du_réseau_interconnecté	project-proposal	function-based project proposal
ipv4	protocole du réseau interconnecté 4	protocole_du_réseau_interconnecté_4	project-proposal	function-based project proposal
link_layout	plan de liaison	plan_de_liaison	project-proposal	function-based project proposal
list_node	maillon de liste	maillon_de_liste	project-proposal	function-based project proposal
log_decoder	décoder le journal série	décoder_le_journal_série	project-proposal	function-based project proposal
mouse	dispositif de pointage	dispositif_de_pointage	project-proposal	function-based project proposal
page_directory	répertoire de pages	répertoire_de_pages	project-proposal	src/paging/paging.go: upper-level page table, not a file directory
page_frame	page physique	page_physique	project-proposal	physical page, not an Ethernet frame or exception record
pointer	référence mémoire	référence_mémoire	project-proposal	function-based project proposal
prepend	ajouter en tête de liste	ajouter_en_tête_de_liste	project-proposal	src/util/list/list.go: links before head
register	registre	registre	project-proposal	function-based project proposal
set_coordinates	définir les coordonnées locales	définir_les_coordonnées_locales	project-proposal	src/widget/widget.go: assigns local x/y; no parent transform
source_port	numéro du port source	numéro_du_port_source	project-proposal	function-based project proposal
stack	mémoire de pile	mémoire_de_pile	project-proposal	function-based project proposal
startup	démarrage	démarrage	project-proposal	function-based project proposal
structure_offsets	décalages de structure	décalages_de_structure	project-proposal	function-based project proposal
system_call	appel système	appel_système	project-proposal	function-based project proposal
tests	essais	essais	project-proposal	function-based project proposal
toggle_bit	inverser le bit de réservation	inverser_le_bit_de_réservation	project-proposal	src/phymem/phymem.go: XOR; does not unconditionally clear the bit
tools	outils	outils	project-proposal	function-based project proposal
udp	protocole des datagrammes utilisateur	protocole_des_datagrammes_utilisateur	project-proposal	function-based project proposal
udp_header	entête des datagrammes utilisateur	entête_des_datagrammes_utilisateur	project-proposal	function-based project proposal
udp_socket	point de communication des datagrammes utilisateur	point_de_communication_des_datagrammes_utilisateur	project-proposal	function-based project proposal
user_space	espace utilisateur	espace_utilisateur	project-proposal	function-based project proposal
widget	élément graphique	élément_graphique	project-proposal	function-based project proposal
