compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/conversão_de_endereços/ordem_de_octetos.h
include/sys/syscall.h	include/sistema/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/entre_redes/endereço.h
include/stddef.h	include/definições_básicas.h
include/stdint.h	include/tipos_inteiros.h
include/sys/socket.h	include/sistema/socket.h
include/sys/stat.h	include/sistema/stat.h
include/sys/types.h	include/sistema/tipos_de_dados.h
include/sys/utsname.h	include/sistema/identidade_do_sistema.h
include/sys/wait.h	include/sistema/espera_de_filhos.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/teste_de_compilação.c
tests/exec_runtime.c	tests/teste_de_substituição_do_programa.c
tests/exec_target.c	tests/destino_de_substituição.c
tests/fork_runtime.c	tests/teste_de_bifurcação_do_processo.c
tests/heap_runtime.c	tests/teste_de_memória_dinâmica.c
tests/runtime.c	tests/teste_de_execução.c
tests/socket_runtime.c	tests/teste_do_extremo.c
tests/stdin_runtime.c	tests/teste_de_entrada_padrão.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
