compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	輸入列容量	project-proposal
MAX_ARGUMENT_COUNT	最大引數個數	project-proposal
MAX_SCRIPT_DEPTH	最大命令檔案巢狀層數	project-proposal
argument_count	引數個數	project-proposal
arguments	引數列表	project-proposal
buffer	傳輸緩衝區	project-proposal
bytes_read	已讀位元組數	project-proposal
bytes_written	已寫位元組數	project-proposal
capacity	容量	project-proposal
character	字元	project-proposal
child_pid	子行程編號	project-proposal
cleanup	關閉通訊端	project-proposal
command	命令	project-proposal
command_aliases	本地語言命令別名	project-proposal
command_cat	顯示檔案內容	project-proposal
command_echo	顯示引數	project-proposal
command_matches	命令相符	project-proposal
command_names	基準命令	project-proposal
command_pid	顯示行程編號	project-proposal
command_pwd	顯示目前目錄	project-proposal
command_run	執行程式	project-proposal
command_source	解譯命令檔案	project-proposal
command_stat	顯示檔案資訊	project-proposal
command_udp	測試資料報回送	project-proposal
command_uname	顯示系統資訊	project-proposal
current	目前位置	project-proposal
digit_text	數字字元	project-proposal
file_descriptor	檔案描述元	project-proposal
file_name	檔名	project-proposal
input	輸入	project-proposal
input_descriptor	輸入描述元	project-proposal
input_line	輸入列	project-proposal
input_stream	輸入串流	project-proposal
left	左側	project-proposal
length	長度	project-proposal
message	訊息	project-proposal
message_length	訊息位元組長度	project-proposal
name	系統識別資訊	project-proposal
number	無號數值	project-proposal
operation	操作	project-proposal
output	輸出位置	project-proposal
overflow	無效輸入列	project-proposal
path	路徑	project-proposal
position	位置	project-proposal
print_help	顯示說明	project-proposal
quote	引號	project-proposal
read_line	讀取輸入列	project-proposal
receive_address	接收端點位址	project-proposal
receive_socket	接收通訊端	project-proposal
received_data	收到的資料	project-proposal
received_length	接收位元組數	project-proposal
right	右側	project-proposal
run_input	解譯輸入	project-proposal
script_depth	命令檔案巢狀深度	project-proposal
send_socket	傳送通訊端	project-proposal
size	數位個數	project-proposal
source_address	傳送端點位址	project-proposal
source_address_length	傳送位址長度	project-proposal
split_arguments	拆分引數	project-proposal
status	狀態	project-proposal
text	文字	project-proposal
text_equal	文字相同	project-proposal
text_length	文字位元組長度	project-proposal
value	數值	project-proposal
wait_status	子行程終止狀態	project-proposal
write_error	回報錯誤	project-proposal
write_integer	寫出整數	project-proposal
write_text	寫出文字	project-proposal
