compiler_identifier	native_identifier
AF_INET	பிணையங்களிடை_முகவரிக்_குடும்பக்_குறியீடு
AF_UNSPEC	குறிப்பிடாத_முகவரிக்_குடும்பம்
INADDR_ANY	எந்த_உள்ளூர்_முகவரியும்
INADDR_LOOPBACK	தன்னிடமே_திரும்பும்_முகவரி
IPPROTO_IP	அடிப்படைப்_பிணையங்களிடை_நெறிமுறை
IPPROTO_UDP	பயனர்_தரவுச்_செய்தி_நெறிமுறை
PF_INET	பிணையங்களிடை_நெறிமுறைக்_குடும்பம்
SC_accept	SC_இணைப்பை_ஏற்றுக்கொள்
SC_bind	SC_உள்ளக_முகவரியைப்_பிணை
SC_connect	SC_எதிர்_முனையுடன்_இணை
SC_getpeername	SC_எதிர்_முனையின்_முகவரியைப்_பெறு
SC_getsockname	SC_உள்ளக_முனையின்_முகவரியைப்_பெறு
SC_listen	SC_இணைப்புகளை_ஏற்கத்_தயாராகு
SC_recv	SC_பெறு
SC_recvfrom	SC_அனுப்பிய_முகவரியுடன்_பெறு
SC_send	SC_அனுப்பு
SC_sendto	SC_இலக்கிற்கு_அனுப்பு
SC_setsockopt	SC_தொடர்பு_முனையின்_விருப்பத்தை_அமை
SC_shutdown	SC_தொடர்புத்_திசையை_மூடு
SC_socket	SC_தொடர்பு_முனையை_உருவாக்கு
SHUT_RD	பெறுதலை_நிறுத்து
SHUT_RDWR	இரு_திசைகளையும்_நிறுத்து
SHUT_WR	அனுப்புதலை_நிறுத்து
SOCK_DGRAM	தரவுச்_செய்தி_முனை
SOCK_STREAM	தரவு_ஓட்ட_முனை
SYS_access	SYS_அணுகல்_உரிமையைச்_சோதி
SYS_brk	SYS_மாறும்_நினைவக_முடிவை_அமை
SYS_chdir	SYS_பணி_அடைவை_மாற்று
SYS_close	SYS_மூடு
SYS_creat	SYS_கோப்பை_உருவாக்கு
SYS_dup	SYS_திறந்த_கோப்பின்_குறிப்பை_நகலெடு
SYS_dup2	SYS_குறித்த_எண்ணுக்கு_கோப்புக்_குறிப்பை_நகலெடு
SYS_execve	SYS_இயங்கும்_நிரலை_மாற்று
SYS_exit	SYS_உடனே_முடி
SYS_fcntl	SYS_கோப்பைக்_கட்டுப்படுத்து
SYS_fork	SYS_சேய்_செயல்முறையை_உருவாக்கு
SYS_fstat	SYS_திறந்த_கோப்பின்_நிலையைப்_பெறு
SYS_fsync	SYS_கோப்பின்_பதிவை_ஒத்திசை
SYS_getcwd	SYS_பணி_அடைவின்_பாதையைப்_பெறு
SYS_getegid	SYS_நடப்பு_உரிமைக்_குழு_அடையாளத்தைப்_பெறு
SYS_geteuid	SYS_நடப்பு_உரிமைப்_பயனர்_அடையாளத்தைப்_பெறு
SYS_getgid	SYS_குழு_அடையாளத்தைப்_பெறு
SYS_getpid	SYS_செயல்முறை_அடையாளத்தைப்_பெறு
