edition	language	directory	private_identifiers	native_proposals	pending_identifiers	host_native_proposals	native_command_aliases	linguistic_review
ABW	nl	나라/ABW/opdrachtvertolker	68	68	0	8	12	incomplete
AFG	fa	나라/AFG/command_interpreter	68	0	68	0	0	incomplete
AGO	pt	나라/AGO/interpretador_de_comandos	68	68	0	8	12	incomplete
AIA	en	나라/AIA/command_interpreter	68	68	0	8	12	incomplete
ALA	sv	나라/ALA/kommandotolk	68	68	0	8	12	incomplete
ALB	sq	나라/ALB/command_interpreter	68	0	68	0	0	incomplete
AND	ca	나라/AND/command_interpreter	68	0	68	0	0	incomplete
ARE	ar	나라/ARE/مفسر_الأوامر	68	68	0	8	12	incomplete
ARG	es	나라/ARG/intérprete_de_órdenes	68	68	0	8	12	incomplete
ARM	hy	나라/ARM/command_interpreter	68	0	68	0	0	incomplete
ASM	sm	나라/ASM/command_interpreter	68	0	68	0	0	incomplete
ATA	und	나라/ATA/command_interpreter	68	0	68	0	0	incomplete
ATF	fr	나라/ATF/interpréteur_de_commandes	68	68	0	8	12	incomplete
ATG	en	나라/ATG/command_interpreter	68	68	0	8	12	incomplete
AUS	en	나라/AUS/command_interpreter	68	68	0	8	12	incomplete
AUT	de	나라/AUT/Befehlsauswerter	68	68	0	8	12	incomplete
AZE	az_Latn	나라/AZE/command_interpreter	68	0	68	0	0	incomplete
BDI	rn	나라/BDI/command_interpreter	68	0	68	0	0	incomplete
BEL	nl	나라/BEL/opdrachtvertolker	68	68	0	8	12	incomplete
BEN	fr	나라/BEN/interpréteur_de_commandes	68	68	0	8	12	incomplete
BES	nl	나라/BES/opdrachtvertolker	68	68	0	8	12	incomplete
BFA	fr	나라/BFA/interpréteur_de_commandes	68	68	0	8	12	incomplete
BGD	bn	나라/BGD/আদেশ_ব্যাখ্যাকারী	68	68	0	8	12	incomplete
BGR	bg	나라/BGR/command_interpreter	68	0	68	0	0	incomplete
BHR	ar	나라/BHR/مفسر_الأوامر	68	68	0	8	12	incomplete
BHS	en	나라/BHS/command_interpreter	68	68	0	8	12	incomplete
BIH	bs_Cyrl	나라/BIH/command_interpreter	68	0	68	0	0	incomplete
BLM	fr	나라/BLM/interpréteur_de_commandes	68	68	0	8	12	incomplete
BLR	be	나라/BLR/command_interpreter	68	0	68	0	0	incomplete
BLZ	en	나라/BLZ/command_interpreter	68	68	0	8	12	incomplete
BMU	en	나라/BMU/command_interpreter	68	68	0	8	12	incomplete
BOL	es	나라/BOL/intérprete_de_órdenes	68	68	0	8	12	incomplete
BRA	pt	나라/BRA/interpretador_de_comandos	68	68	0	8	12	incomplete
BRB	en	나라/BRB/command_interpreter	68	68	0	8	12	incomplete
BRN	ms_Latn	나라/BRN/pentafsir_perintah	68	68	0	8	12	incomplete
BTN	dz	나라/BTN/command_interpreter	68	0	68	0	0	incomplete
BVT	und	나라/BVT/command_interpreter	68	0	68	0	0	incomplete
BWA	en	나라/BWA/command_interpreter	68	68	0	8	12	incomplete
CAF	fr	나라/CAF/interpréteur_de_commandes	68	68	0	8	12	incomplete
CAN	en	나라/CAN/command_interpreter	68	68	0	8	12	incomplete
CCK	en	나라/CCK/command_interpreter	68	68	0	8	12	incomplete
CHE	de	나라/CHE/Befehlsauswerter	68	68	0	8	12	incomplete
CHL	es	나라/CHL/intérprete_de_órdenes	68	68	0	8	12	incomplete
CHN	zh_Hans	나라/CHN/命令解释器	68	68	0	8	12	incomplete
CIV	fr	나라/CIV/interpréteur_de_commandes	68	68	0	8	12	incomplete
CMR	fr	나라/CMR/interpréteur_de_commandes	68	68	0	8	12	incomplete
COD	fr	나라/COD/interpréteur_de_commandes	68	68	0	8	12	incomplete
COG	fr	나라/COG/interpréteur_de_commandes	68	68	0	8	12	incomplete
COK	en	나라/COK/command_interpreter	68	68	0	8	12	incomplete
COL	es	나라/COL/intérprete_de_órdenes	68	68	0	8	12	incomplete
