country	profile	iso639_3	native_language	script	source_files	changed_identifiers	proposed_identifiers	pending_identifiers	linguistic_review	source
IND	as_Beng	asm	অসমীয়া	Beng	104	1321	9	1705	incomplete	문자판/IND/as_Beng/source
IND	bn_Beng	ben	বাংলা	Beng	104	1323	16	1698	incomplete	문자판/IND/bn_Beng/source
IND	brx_Deva	brx	बड़ो	Deva	104	1316	2	1712	incomplete	문자판/IND/brx_Deva/source
IND	doi_Deva	doi	डोगरी	Deva	104	1316	2	1712	incomplete	문자판/IND/doi_Deva/source
IND	gu_Gujr	guj	ગુજરાતી	Gujr	104	1323	16	1698	incomplete	문자판/IND/gu_Gujr/source
IND	hi_Deva	hin	हिन्दी	Deva	104	1323	16	1698	incomplete	문자판/IND/hi_Deva/मूल-पाठ
IND	kn_Knda	kan	ಕನ್ನಡ	Knda	104	1323	16	1698	incomplete	문자판/IND/kn_Knda/source
IND	ks_Arab	kas	کٲشُر	Arab	104	1316	2	1712	incomplete	문자판/IND/ks_Arab/source
IND	kok_Deva	kok	कोंकणी	Deva	104	1316	2	1712	incomplete	문자판/IND/kok_Deva/source
IND	mai_Deva	mai	मैथिली	Deva	104	1321	9	1705	incomplete	문자판/IND/mai_Deva/source
IND	ml_Mlym	mal	മലയാളം	Mlym	104	1323	16	1698	incomplete	문자판/IND/ml_Mlym/source
IND	mni_Mtei	mni	ꯃꯤꯇꯩꯂꯣꯟ	Mtei	104	1316	2	1712	incomplete	문자판/IND/mni_Mtei/source
IND	mr_Deva	mar	मराठी	Deva	104	1323	16	1698	incomplete	문자판/IND/mr_Deva/source
IND	ne_Deva	nep	नेपाली	Deva	104	1323	16	1698	incomplete	문자판/IND/ne_Deva/source
IND	or_Orya	ori	ଓଡ଼ିଆ	Orya	104	1321	9	1705	incomplete	문자판/IND/or_Orya/source
IND	pa_Guru	pan	ਪੰਜਾਬੀ	Guru	104	1321	9	1705	incomplete	문자판/IND/pa_Guru/source
IND	sa_Deva	san	संस्कृतम्	Deva	104	1321	9	1705	incomplete	문자판/IND/sa_Deva/source
IND	sat_Olck	sat	ᱥᱟᱱᱛᱟᱲᱤ	Olck	104	1316	2	1712	incomplete	문자판/IND/sat_Olck/source
IND	sd_Arab	snd	سنڌي	Arab	104	1316	2	1712	incomplete	문자판/IND/sd_Arab/source
IND	ta_Taml	tam	தமிழ்	Taml	104	1323	16	1698	incomplete	문자판/IND/ta_Taml/மூல-உரை
IND	te_Telu	tel	తెలుగు	Telu	104	1323	16	1698	incomplete	문자판/IND/te_Telu/source
IND	ur_Arab	urd	اُردُو	Arab	104	1323	16	1698	incomplete	문자판/IND/ur_Arab/source
IND	kok_Latn	kok	कोंकणी	Latn	104	1316	2	1712	incomplete	문자판/IND/kok_Latn/source
IND	ks_Deva	kas	کٲشُر	Deva	104	1316	2	1712	incomplete	문자판/IND/ks_Deva/source
IND	mni_Beng	mni	ꯃꯤꯇꯩꯂꯣꯟ	Beng	104	1316	2	1712	incomplete	문자판/IND/mni_Beng/source
IND	pa_Arab	pan	ਪੰਜਾਬੀ	Arab	104	1316	2	1712	incomplete	문자판/IND/pa_Arab/source
IND	sat_Beng	sat	ᱥᱟᱱᱛᱟᱲᱤ	Beng	104	1316	2	1712	incomplete	문자판/IND/sat_Beng/source
IND	sat_Deva	sat	ᱥᱟᱱᱛᱟᱲᱤ	Deva	104	1316	2	1712	incomplete	문자판/IND/sat_Deva/source
IND	sd_Deva	snd	سنڌي	Deva	104	1316	2	1712	incomplete	문자판/IND/sd_Deva/source
JPN	ja_Jpan	jpn	日本語	Jpan	104	0	0	1714	incomplete	문자판/JPN/ja_Jpan/原始記述
JPN	ja_Hira	jpn	日本語	Hira	104	1095	0	1714	incomplete	문자판/JPN/ja_Hira/げんしきじゅつ
JPN	ja_Kana	jpn	日本語	Kana	104	772	0	1714	incomplete	문자판/JPN/ja_Kana/ゲンシキジュツ
CHN	zh_Hans	zho	中文	Hans	104	0	0	1714	incomplete	문자판/CHN/zh_Hans/源代码
CHN	zh_Hant	zho	中文	Hant	104	1089	0	1714	incomplete	문자판/CHN/zh_Hant/原始碼
HKG	zh_Hans	zho	中文	Hans	104	1089	0	1714	incomplete	문자판/HKG/zh_Hans/源代码
HKG	zh_Hant	zho	中文	Hant	104	0	0	1714	incomplete	문자판/HKG/zh_Hant/原始碼
MAC	zh_Hans	zho	中文	Hans	104	1089	0	1714	incomplete	문자판/MAC/zh_Hans/源代码
MAC	zh_Hant	zho	中文	Hant	104	0	0	1714	incomplete	문자판/MAC/zh_Hant/原始碼
TWN	zh_Hans	zho	中文	Hans	104	1089	0	1714	incomplete	문자판/TWN/zh_Hans/源代码
TWN	zh_Hant	zho	中文	Hant	104	0	0	1714	incomplete	문자판/TWN/zh_Hant/原始碼
SRB	sr_Cyrl	srp	српски	Cyrl	104	0	0	1714	incomplete	문자판/SRB/sr_Cyrl/source
SRB	sr_Latn	srp	српски	Latn	104	1080	0	1714	incomplete	문자판/SRB/sr_Latn/source
MNE	sr_Cyrl	srp	српски	Cyrl	104	497	0	1714	incomplete	문자판/MNE/sr_Cyrl/source
MNE	sr_Latn	srp	српски	Latn	104	807	0	1714	incomplete	문자판/MNE/sr_Latn/source
BIH	bs_Cyrl	bos	bosanski	Cyrl	104	0	0	1714	incomplete	문자판/BIH/bs_Cyrl/source
BIH	bs_Latn	bos	bosanski	Latn	104	1	0	1714	incomplete	문자판/BIH/bs_Latn/source
