country	profile	cldr_classification	script_name	implementation_status	note
AIA	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
AIA	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
AIA	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
ALB	sq_Elba	secondary	Elbasan	not-implemented	CLDR secondary may include historical usage; review before implementation
ALB	sq_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ARE	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ARE	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
ATF	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
ATF	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ATG	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
ATG	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
ATG	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
AUS	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
AUS	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
AUS	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
AUT	de_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
AUT	de_Runr	secondary	Runic	not-implemented	CLDR secondary may include historical usage; review before implementation
AZE	az_Arab	secondary	Arabic	not-implemented	CLDR secondary may include historical usage; review before implementation
AZE	az_Cyrl	secondary	Cyrillic	not-implemented	CLDR secondary may include historical usage; review before implementation
AZE	az_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BEN	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
BEN	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BFA	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
BFA	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BHR	ar_Arab	primary	Arabic	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BHR	ar_Syrc	secondary	Syriac	not-implemented	CLDR secondary may include historical usage; review before implementation
BHS	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BHS	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BHS	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
BIH	bs_Cyrl	primary	Cyrillic	source-added-language-review-pending	CLDR secondary may include historical usage; review before implementation
BIH	bs_Latn	primary	Latin	source-added-language-review-pending	CLDR secondary may include historical usage; review before implementation
BLM	fr_Dupl	secondary	Duployan shorthand	not-implemented	CLDR secondary may include historical usage; review before implementation
BLM	fr_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BLZ	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
BLZ	en_Latn	primary	Latin	existing-country-source-language-review-pending	CLDR secondary may include historical usage; review before implementation
BLZ	en_Shaw	secondary	Shavian	not-implemented	CLDR secondary may include historical usage; review before implementation
BMU	en_Dsrt	secondary	Deseret	not-implemented	CLDR secondary may include historical usage; review before implementation
