a	5
access	4
ack	1
activate	2
active	6
add	5
addend	1
addr	34
addralign	1
address	34
advanced	1
af	1
after	1
align	1
aligned	1
alignment	1
all	2
alloc	3
allocate	3
allocated	1
am	2
amd	1
amount	1
and	2
append	1
args	1
argument	3
arguments	1
arp	4
arp콘솔	1
array	18
at	9
ata	2
atime	2
attachment	1
attempts	1
attr	1
attribute	4
attributes	1
aux	1
avail	1
available	1
b	4
ba	1
back	2
backend	6
backup	2
bar	3
base	13
be	10
bh	1
big	2
bind	4
bios	2
bit	8
bitmap	1
bitmasp	1
bits	2
blksize	1
block	8
blocked	2
blocking	1
blocks	6
boot	2
bootable	1
bootloader	1
bound	2
bpb	3
break	1
brk	3
broadcast	1
buf	7
buffer	23
buffers	6
bufptr	1
bus	2
button	1
buttons	4
by	1
byte	14
bytes	17
c	9
cache	4
call	4
candidate	1
cap	1
card	1
char	4
chdir	2
check	3
checked	1
checksum	2
child	4
chunk	3
class	1
clear	1
cloexec	1
clone	2
close	6
cluster	8
cmp	1
code	14
col	4
color	3
colordepth	1
command	6
commandport	1
common	1
component	2
connect	2
connected	1
console	2
contains	1
contents	1
control	5
controller	13
coordinate	1
copies	1
copy	8
count	11
cow	3
cpu	2
cpustate	1
cpy	1
cr	17
creat	1
create	5
crtc	2
cs	2
ctime	2
cur	3
current	13
cursor	5
cylinder	2
d	7
data	37
databuffer	1
datagram	11
dataport	1
date	2
deactivate	1
deactive	2
debug	2
decrement	1
default	5
delete	1
delta	1
desc	3
descr	6
description	2
descriptor	15
descriptors	1
descsz	1
destination	3
destroy	1
dev	2
device	8
diff	1
digits	1
dir	18
directory	3
dirent	3
disable	2
discard	1
disconnect	1
dispatch	1
divide	1
divisor	1
do	1
domain	1
double	1
down	3
draw	1
drive	1
driver	16
drivercount	1
drivers	3
drv	1
ds	6
dst	11
dstptr	1
dup	5
dword	4
dyn	1
dynamic	2
e	18
eacces	1
eaddrinuse	1
eafnosupport	1
eagain	1
eax	2
ebadf	1
ebp	2
ebusy	1
ebx	2
echild	1
echo	1
ecx	2
edi	2
edx	2
eexist	1
ef	3
efault	1
efbig	1
eflags	2
ehsize	1
eintr	1
einval	1
eio	1
eip	3
eisdir	1
elf	18
emfile	1
empty	1
emsgsize	1
enable	2
enabled	2
end	6
enetunreach	1
enfile	1
enodev	1
enoent	1
enoexec	1
enomem	1
enospc	1
enosys	1
enotconn	1
enotdir	1
enotty	1
ensure	1
entries	5
entry	28
entrypoint	1
entsize	1
environment	2
eopnotsupp	1
eperm	1
ephemeral	2
eprotonosupport	1
equal	1
erange	1
erofs	1
err	1
error	8
errorln	1
es	2
esi	3
esp	11
espipe	1
esrch	1
ether	14
etherframe	2
event	18
events	2
exceeded	1
except	1
exception	13
exec	8
execve	2
exists	1
exit	7
exited	1
ext	2
extended	1
f	9
family	1
fat	12
fatal	2
fatbuf	1
fatbuffer	1
fault	7
fb	7
fcntl	2
fd	22
fds	1
field	1
file	23
filename	1
files	1
filesz	1
fill	3
find	1
first	7
fl	2
flags	10
floating	2
flush	6
fn	1
focus	1
focussable	1
foo	1
for	4
forced	1
fork	2
found	1
fp	2
fpu	2
frame	24
free	5
frequency	3
from	9
front	1
fs	2
fstat	2
fsync	2
fuction	1
full	1
func	9
function	4
functions	2
fxrstor	1
fxsave	1
g	2
gate	5
gateway	2
gb	1
gdt	17
get	46
getcwd	2
getegid	1
geteuid	1
getgid	1
getpid	2
getppid	1
getuid	1
gid	1
global	3
got	3
gpf	1
gran	2
graphics	3
grub	1
gs	7
h	1
halt	1
handle	13
handler	52
handlers	1
hardware	3
has	2
hd	1
head	4
header	14
headertype	1
heap	4
height	3
helper	4
hex	8
hex출력	2
hi	2
hidden	1
high	6
i	21
icmp	2
icmp콘솔	1
id	10
ident	2
identify	1
idt	5
idx	3
ifchr	1
ifdir	1
ifmt	1
ifreg	1
ifsock	1
in	12
increment	1
index	16
inet	1
info	6
init	7
initial	1
initialization	1
initialize	1
ino	1
inode	1
input	2
install	2
int	2
interconnect	2
interface	1
internet	10
internetprotocol	1
interrupt	33
interrupts	1
invalid	2
iomap	1
ip	22
ipci	1
ipmessage	1
ipv	1
ip콘솔	1
iret	1
is	7
ist	1
j	1
jmp	2
jump	2
k	2
kb	1
kcs	2
kds	2
kernel	11
key	3
keyboard	19
kgs	2
kind	7
k핵심	1
l	1
label	2
last	2
lba	4
ldt	1
left	1
len	8
length	12
lengths	1
level	1
lib	11
lidt	1
lidtaddr	1
limit	7
line	1
link	10
linked	1
linker	4
list	3
listen	1
listening	1
live	1
load	1
loader	1
local	5
log	1
logical	1
loop	4
low	8
lseek	2
lstat	1
m	8
mac	21
machine	3
magicnumber	1
main	2
make	3
malloc	2
manager	15
map	9
mask	3
master	4
matches	1
max	9
maximum	1
mb	1
mbr	1
media	1
mem	6
memory	16
memorymananger	1
memorytest	1
memsz	1
mesg	1
message	11
mics	1
mid	2
minimum	1
mode	29
model	1
mouse	18
mousemove	1
move	3
msdospart	1
msg	2
mtime	2
multiboot	2
multitasking	1
my	7
myfunction	1
m긴급로그	2
m긴급로그문자열	1
m직렬로그초기화	1
m출력	6
m테스트	1
n	4
name	11
namesz	1
net	1
new	8
next	8
nibble	1
nlink	1
nmi	1
node	8
nodename	1
noexec	1
none	1
normal	1
norw	1
not	3
note	1
nsec	3
num	10
number	6
o	8
of	2
offset	16
ok	1
old	7
on	13
only	3
opcode	1
open	10
oper	2
options	1
org	1
other	1
out	3
output	1
overflow	1
p	27
packet	3
packets	2
paddr	1
page	33
pages	1
paging	4
param	1
parameter	1
params	1
parent	5
parse	1
part	1
partition	7
partitions	1
path	4
pause	1
payload	2
pci	6
pde	5
pdelen	1
peer	1
pending	6
per	5
peripheral	2
phentsize	1
phnum	1
phoff	1
phy	1
phyaddr	1
phymem	1
phys	1
physical	2
pic	4
pid	8
pit	2
pixel	3
point	3
pointer	5
pointers	2
poll	1
port	58
portnumber	1
pos	3
position	1
posix	3
prefetchable	1
present	6
prev	6
primary	1
print	24
printf	1
println	2
printreg	1
priv	2
private	3
privilege	1
proc	4
process	17
processes	1
program	2
protocol	22
provided	1
provider	14
ps	6
pt	4
pte	2
ptr	24
push	4
put	3
pv	1
queue	7
r	9
range	3
raw	7
rdev	1
read	20
ready	3
receive	2
received	3
receiver	1
receviced	1
record	1
rectangle	1
recv	6
ref	3
refs	1
reg	1
region	1
register	5
registeroffset	1
registers	2
regs	2
regtype	1
rel	3
rela	1
release	2
released	1
reload	2
relocation	1
remaining	1
remote	3
remove	4
reply	1
request	2
requested	1
reserved	3
reset	3
resolve	2
restore	1
result	3
ret	1
revision	1
rgb	1
right	1
root	6
round	2
route	1
rs	1
rt	2
run	1
runnable	1
rx	1
s	7
saved	1
sc	1
scan	3
scancode	2
sche	2
schedule	2
scheduler	5
screen	2
sect	4
section	1
sector	15
sectors	4
seek	3
seg	19
segment	9
segments	1
select	1
selector	5
self	2
send	13
sequencer	2
serial	4
set	30
setup	1
sh	11
shared	2
shentsize	1
shift	3
shndx	1
shnum	1
shoff	1
shstrndx	1
signature	2
simd	1
size	30
sl	1
slave	2
sock	1
socket	20
socketcall	1
sockets	4
soft	1
source	3
space	2
spawn	1
src	11
srcptr	1
ss	7
st	7
stack	15
stackbottom	1
stacktop	1
start	13
started	1
starting	1
stat	6
state	6
status	3
stderr	1
stdin	8
stdout	1
stop	1
stopped	2
str	5
string	4
strtab	1
subclass	1
subnet	2
support	1
swap	1
switch	1
sym	1
sync	1
sys	63
syscall	5
sysname	1
system	1
systemcall	1
t	58
table	17
tag	1
tail	1
tamd	1
tarp	4
task	13
tasks	2
tcow	1
tcpu	1
technology	1
temp	1
tenth	1
terminated	1
test	8
text	29
thr	3
thread	23
threads	1
tick	2
ticmp	1
time	6
timer	5
tip	1
tls	8
tmp	2
tmsdos	1
to	17
top	1
tos	1
total	4
track	1
trap	1
truncate	1
tss	6
type	14
t공용서술자테이블	2
t작업관리자	1
t조각설명자	1
t콘솔	1
t함수	1
udesc	6
udp	7
udp콘솔	1
uid	1
uint	31
uintptr	2
uname	2
unhandle	1
unhandled	1
unset	1
unused	1
up	3
update	1
usable	1
use	1
used	3
user	38
userhandler	1
usermode	1
userproc	1
util	1
util콘솔	1
uts	1
utsname	1
v	4
vaddr	1
val	4
value	9
values	1
vector	3
vendor	1
ver	1
version	4
vfs	1
vga	2
video	1
virt	2
virtlen	1
virtmem	1
virtual	1
volume	2
w	4
wait	3
waitpid	2
wdata	1
whence	1
widget	5
width	2
word	4
writable	4
write	18
writer	2
x	47
xy	6
y	6
zero	3
값	1
공용서술자테이블	1
기준	4
기준주소	1
낮은	2
넷카드콘솔	1
높은	2
단말기	1
마우스콘솔	1
매개값	1
매우높은	1
멈추기	1
목적	1
유형	1
이더넷콘솔	1
인터럽트무시하기	1
인터럽트예외처리기	21
인터럽트요청처리	19
인터럽트처리기	1
임시	1
자료	2
자신	1
작업관리자	1
작업콘솔	1
조각설명자	1
출력	6
콘솔	1
크기	1
키보드콘솔	1
표시들	2
한도	3
