edition	result	canonical_sha256	shell_elf_sha256	kernel_elf_sha256
ARE	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	1424ef43aaa6c17346cc5ee6ec0a43af39b267de378281fadc546e96324ecf4c	cd86232c6365b6281a4bc6df80748742056959961e9c900830880487e3b6a047
CHN/zh_Hans	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	b4bbb40df6d89b270ea49492aefb6c1af5caeb189777932864b4da213d41c43e	bbe885bf26859faa2fbd73c3b41233f51f4b22d14497cfb06bafa6b1e57a794a
CHN/zh_Hant	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	c772038ff2f0fdafdf964ebceb3839c83812c4274e0eb4ddf3c57205b6a24e61	a4b352e6e4ae666f4ab90774ca4eee37f3fab4ce25a1c97b5e2e61f5249a7947
DEU	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4a18f417d84e19869358c0b9586fa78672d3c8eedbbe697cbe75f00b9f144da4	725f1712f95d72ec83a12873cc706f95576b283cdd0035a65ecd23b4718e9530
FRA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	8aadb470828422818d69b3d54f3ee6d8a6915d741d01b5e23f71d5f6b45d8ca3	5a1c9a6e40733e0c9c0e3c26ca35a9c016a1216a65643cb51debefdc6a5dd640
IND/hi_Deva	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0f9dce4aa4073a11db759228205b6567e355304dd3879607809acdb5eaa0820b	cd1bd250e035d6b3391d88a52f488c4a53685b3117cc205d83ce474caecfc8d1
IND/ta_Taml	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	cf30cc5cf7200094508bcc8b6f470ed3175e28dd4d4c488c180974626a592d18	f167c92d11bd695ad7d8f44810da70cec17aebe641b3f8937d7a56ac25f0a428
JPN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	66e1972d2327b82e21ab41385aaa3d369a35766db1bef66eabb9966c16a2f9ae	49e7a32f9b8576793b37b70beb141d150d9e3a9503e2d6fd5e7737598fbf2a4f
JPN/ja_Hira	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	6bd1282ff25f83f383adaf3dc78b62b3bfe8a227adee3ffa25ec258fbc45cd04	9b1dc98647a71ba0da584617cca05c8b248983c064f4610d6734d55dceb9bf38
JPN/ja_Kana	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	21e5e027f41effccab579e77463391af52ae46308c44cd08a1c626c17d7d4686	8fd85cded7c404c644a3547b1d977cd7ed0a7fa099a05efcde52591c2b42c14d
KOR	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	04a47363f1c44dcc86cb225fd1cf0d4af1a7d34e743939c4d39a98af9560c019	f93b455e820020ee3e490f83b474c1f0c0f99ba7c96832f7260198a666f655a8
USA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	489164f09442ae446ba0447b5668b05a82262ce7f2f1ff78b6b699b55068debd	93418c6024c6ed6b41a792107ce69d1ded6ef8eebf6262147840f4781c43df4b
