compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	センゲン/ツウシンバンチ/ハチケタグミジュンジョ.h
include/sys/syscall.h	センゲン/タイケイ/タイケイヨビダシ.h
include/errno.h	センゲン/アヤマリバンゴウ.h
include/fcntl.h	センゲン/ブンショセイギョ.h
include/netinet/in.h	センゲン/ソウゴセツゾクモウ/バンチ.h
include/stddef.h	センゲン/キホンテイギ.h
include/stdint.h	センゲン/セイスウガタ.h
include/sys/socket.h	センゲン/タイケイ/ツウシンタンテン.h
include/sys/stat.h	センゲン/タイケイ/ブンショジョウタイ.h
include/sys/types.h	センゲン/タイケイ/シリョウガタ.h
include/sys/utsname.h	センゲン/タイケイ/タイケイジョウホウ.h
include/sys/wait.h	センゲン/タイケイ/コノタイキ.h
include/unistd.h	センゲン/ニュウシュツリョクトジッコウ.h
linker.ld	レンケツハイチ.ld
src/crt0.S	ジッソウ/キドウ.S
src/errno.c	ジッソウ/アヤマリバンゴウ.c
src/fcntl.c	ジッソウ/ブンショセイギョ.c
src/socket.c	ジッソウ/ツウシンタンテン.c
src/stat.c	ジッソウ/ブンショジョウタイ.c
src/syscall.S	ジッソウ/タイケイヨビダシ.S
src/unistd.c	ジッソウ/ニュウシュツリョクトジッコウ.c
tests/compile.c	シケン/ホンヤクケンサ.c
tests/exec_runtime.c	シケン/ジッコウナイヨウチカンシケン.c
tests/exec_target.c	シケン/チカンジッコウタイショウ.c
tests/fork_runtime.c	シケン/ジッコウカテイブンキシケン.c
tests/heap_runtime.c	シケン/ドウテキキオクシケン.c
tests/runtime.c	シケン/ジッコウシケン.c
tests/socket_runtime.c	シケン/ツウシンタンテンシケン.c
tests/stdin_runtime.c	シケン/ヒョウジュンニュウリョクシケン.c
include/ctype.h	センゲン/モジブンルイ.h
include/limits.h	センゲン/セイスウゲンカイ.h
include/stdlib.h	センゲン/イッパンカンスウ.h
include/string.h	センゲン/モジレツトキオクナイヨウ.h
include/strings.h	センゲン/モジレツダイショウヒカク.h
src/allocation.c	ジッソウ/キオクリョウイキカンリ.c
src/ctype.c	ジッソウ/モジブンルイ.c
src/stdlib.c	ジッソウ/イッパンカンスウ.c
src/string.c	ジッソウ/モジレツトキオクナイヨウ.c
tests/library.c	シケン/カンスウシュウシケン.c
tests/library_main.c	シケン/カンスウシュウシケンカイシ.c
tests/probe.c	シケン/ボゴヨビダシシケン.c
