function	native_identifier	implementation	limits
_exit	タダチニシュウリョウスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	ヨム	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	カク	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	トジル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	ヨミカキイチヲウツス	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	ジッコウカテイヲブンキスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	ジッコウナイヨウヲオキカエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	ジッコウカテイバンゴウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	オヤジッコウカテイバンゴウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	リヨウシャバンゴウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	ジッコウリヨウシャバンゴウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	ショゾククミバンゴウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	ジッコウショゾククミバンゴウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	リヨウケンゲンヲシラベル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	サギョウモクロクヲカエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	サギョウモクロクノケイロヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	ヒライタブンショノサンショウヲフクセイスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	シテイバンゴウニブンショサンショウヲフクセイスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	ブンショノキロクヲドウキスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	スベテノキロクヲドウキスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	タンマツカシラベル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	ドウテキキオクノシュウタンヲサダメル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	ドウテキキオクノシュウタンヲウツス	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	シテイシタコヲマツ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	コヲマツ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	ヒラク	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	ブンショヲツクル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	ブンショヲセイギョスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	ブンショジョウタイ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	レンケツジタイノジョウタイヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	ヒライタブンショノジョウタイヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	タイケイジョウホウヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	ツウシンモウジュンニ16ケタヲカエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	キカイジュンニ16ケタヲカエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	ツウシンモウジュンニ32ケタヲカエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	キカイジュンニ32ケタヲカエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	ツウシンタンテンヲツクル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	キョクショバンチヲムスブ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	アイテタンテンニツナグ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	セツゾクヨウキュウニソナエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	セツゾクヨウキュウヲウケイレル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	キョクショタンテンノバンチヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	アイテタンテンノバンチヲエル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	オクル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	ウケトル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	アテサキニオクル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	ソウシンモトトトモニウケトル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	ツウシンホウコウヲトジル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	ツウシンタンテンヲセッテイスル	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	キオクナイヨウヲフクシャスル	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	カサナリヲユルシテキオクナイヨウヲウツス	userspace-library	single-thread;C-locale;byte-strings;i386
memset	キオクリョウイキヲアタイデミタス	userspace-library	single-thread;C-locale;byte-strings;i386
memcmp	キオクナイヨウヲヒカクスル	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	キオクリョウイキカラアタイヲサガス	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	モジレツノハチケタグミスウヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	ジョウゲンナイノモジレツハチケタグミスウヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	モジレツヲフクシャスル	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	ジョウゲンマデウメテモジレツヲフクシャスル	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	モジレツヲフクシャシテシュウタンヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	ジョウゲンマデウメテフクシャシシュウタンヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	モジレツヲツケタス	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	ジョウゲンナイデモジレツヲツケタス	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	モジレツヲヒカクスル	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	ジョウゲンナイデモジレツヲヒカクスル	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	セイレツキソクデモジレツヲヒカクスル	userspace-library	single-thread;C-locale;byte-strings;i386
strxfrm	モジレツノセイレツカギヲツクル	userspace-library	single-thread;C-locale;byte-strings;i386
strchr	モジレツカラサイショノアタイヲサガス	userspace-library	single-thread;C-locale;byte-strings;i386
strrchr	モジレツカラサイゴノアタイヲサガス	userspace-library	single-thread;C-locale;byte-strings;i386
strstr	モジレツカラブブンレツヲサガス	userspace-library	single-thread;C-locale;byte-strings;i386
strspn	キョヨウチカラナルセントウチョウヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
strcspn	ジョガイチノナイセントウチョウヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
strpbrk	モジレツカラシュウゴウノアタイヲサガス	userspace-library	single-thread;C-locale;byte-strings;i386
strtok	モジレツヲゴニワケル	userspace-library	single-thread;C-locale;byte-strings;i386
strtok_r	シンコウジョウタイヲシテイシテモジレツヲゴニワケル	userspace-library	single-thread;C-locale;byte-strings;i386
strdup	アタラシイリョウイキニモジレツヲフクセイスル	userspace-library	single-thread;C-locale;byte-strings;i386
strndup	ジョウゲンナイデアタラシイリョウイキニモジレツヲフクセイスル	userspace-library	single-thread;C-locale;byte-strings;i386
strcasecmp	オオモジコモジヲクベツセズヒカクスル	userspace-library	single-thread;C-locale;byte-strings;i386
strncasecmp	ジョウゲンナイデオオモジコモジヲクベツセズヒカクスル	userspace-library	single-thread;C-locale;byte-strings;i386
isalnum	エイジカスウジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isalpha	エイジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isblank	スイヘイクウハクカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
iscntrl	セイギョモジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isdigit	ジュッシンスウジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isgraph	クウハクイガイノインジモジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
islower	コモジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isprint	インジモジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
ispunct	クトウキゴウカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isspace	クウハクモジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isupper	オオモジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
isxdigit	ジュウロクシンスウジカシラベル	userspace-library	single-thread;C-locale;byte-strings;i386
tolower	コモジニカエル	userspace-library	single-thread;C-locale;byte-strings;i386
toupper	オオモジニカエル	userspace-library	single-thread;C-locale;byte-strings;i386
malloc	キオクリョウイキヲカクホスル	userspace-library	single-thread;C-locale;byte-strings;i386
calloc	レイデミタシタハイレツリョウイキヲカクホスル	userspace-library	single-thread;C-locale;byte-strings;i386
realloc	キオクリョウイキノオオキサヲカエル	userspace-library	single-thread;C-locale;byte-strings;i386
free	キオクリョウイキヲカエス	userspace-library	single-thread;C-locale;byte-strings;i386
strtol	モジレツヲチョウセイスウトシテヨム	userspace-library	single-thread;C-locale;byte-strings;i386
strtoul	モジレツヲフゴウナシチョウセイスウトシテヨム	userspace-library	single-thread;C-locale;byte-strings;i386
atoi	ジュッシンモジレツヲセイスウトシテヨム	userspace-library	single-thread;C-locale;byte-strings;i386
atol	ジュッシンモジレツヲチョウセイスウトシテヨム	userspace-library	single-thread;C-locale;byte-strings;i386
abs	セイスウノゼッタイチヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
labs	チョウセイスウノゼッタイチヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
div	セイスウノショウトアマリヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
ldiv	チョウセイスウノショウトアマリヲエル	userspace-library	single-thread;C-locale;byte-strings;i386
qsort	ヒカクキジュンデセイレツスル	userspace-library	single-thread;C-locale;byte-strings;i386
