원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/běžné/paměťoperation.go
src/common/type.go	src/běžné/typ.go
src/console/console.go	src/konzole/konzole.go
src/console/console.s	src/konzole/konzole.s
src/drivers/ata/ata.go	src/driver/ata/ata.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/klávesnice/klávesnice.go
src/drivers/mouse/mouse.go	src/driver/polohovací_zařízení/polohovací_zařízení.go
src/drivers/timer/timer.go	src/driver/odpočet/odpočet.go
src/etherframe/etherframe.go	src/rámec_sítě_se_sdíleným_médiem/rámec_sítě_se_sdíleným_médiem.go
src/filesystem/elf/elf.go	src/souborSystém/spustitelný_a_spojitelný_formát/spustitelný_a_spojitelný_formát.go
src/filesystem/elf/elfheader.go	src/souborSystém/spustitelný_a_spojitelný_formát/elfheader.go
src/filesystem/elf/elfsection.go	src/souborSystém/spustitelný_a_spojitelný_formát/elfsection.go
src/filesystem/elf/linkmap.go	src/souborSystém/spustitelný_a_spojitelný_formát/odkazmap.go
src/filesystem/fat/fat.go	src/souborSystém/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/souborSystém/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/protokol_řídicích_zpráv_propojených_sítí/protokol_řídicích_zpráv_propojených_sítí.go
src/interrupt/interrupt.go	src/přerušení/přerušení.go
src/interrupt/interrupt.s	src/přerušení/přerušení.s
src/ipv4/ipv4.go	src/protokol_propojených_sítí_4/protokol_propojených_sítí_4.go
src/memorymanager/memorymanager.go	src/paměťmanager/paměťmanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalPaměť/physicalPaměť.go
src/port/port.go	src/port/port.go
src/port/port.s	src/port/port.s
src/systemcall/systemcall.go	src/systémcall/systémcall.go
src/systemcall/systemcall.s	src/systémcall/systémcall.s
src/tasking/process/process.go	src/tasking/proces/proces.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/textMÓD/textMÓD.go
src/udp/udp.go	src/protokol_uživatelských_datagramů/protokol_uživatelských_datagramů.go
src/util/array/array.go	src/util/pole/pole.go
src/util/list/list.go	src/util/seznam/seznam.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/virtuálníPaměť/virtuálníPaměť.go
src/widget/widget.go	src/prvek_obrazovky/prvek_obrazovky.go
main.go	hlavní.go
main.s	hlavní.s
asm/constants.inc	spuštění_stroje/konstanta.inc
asm/gdt.inc	spuštění_stroje/gdt.inc
asm/go_asm_offsets.inc	spuštění_stroje/goasmoffset.inc
asm/multiboot_header.s	spuštění_stroje/multibootheader.s
asm/rt0.s	spuštění_stroje/rt0.s
go.sh	přeložit_jádro.sh
linker.ld	rozvržení_spojování.ld
tools/decode-virtualbox-log.sh	nástroje/zpracovat_sériový_záznam.sh
tools/offsets.go	nástroje/posuny_struktury.go
userland/posix/Makefile	uživatelský_prostor/posix/Makefile
