compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	ニュウリョクギョウヨウリョウ	project-proposal
MAX_ARGUMENT_COUNT	サイダイヒキスウスウ	project-proposal
MAX_SCRIPT_DEPTH	メイレイブンショノサイダイイレコスウ	project-proposal
argument_count	ヒキスウノカズ_2	project-proposal
arguments	ヒキスウレツ	project-proposal
buffer	テンソウカンショウリョウイキ	project-proposal
bytes_read	ヨンダハチケタグミノカズ	project-proposal
bytes_written	カキダシタハチケタグミスウ	project-proposal
capacity	ヨウリョウ	project-proposal
character	モジ	project-proposal
child_pid	コジッコウカテイノバンゴウ	project-proposal
cleanup	ツウシンタンテンヲトジル	project-proposal
command	メイレイ	project-proposal
command_aliases	ゲンチゴメイレイベツメイ	project-proposal
command_cat	ブンショノナイヨウヲヒョウジスル	project-proposal
command_echo	ヒキスウヲヒョウジスル	project-proposal
command_matches	メイレイガイッチスル	project-proposal
command_names	キジュンメイレイ	project-proposal
command_pid	ジッコウカテイノバンゴウヲシメス	project-proposal
command_pwd	ゲンザイノバショヲシメス	project-proposal
command_run	ジッコウケイシキヲキドウスル	project-proposal
command_source	メイレイブンショヲカイシャクスル	project-proposal
command_stat	ブンショノジョウホウヲシメス	project-proposal
command_udp	ドクリツデンブンノオリカエシヲタメス	project-proposal
command_uname	キホンタイケイノジョウホウヲシメス	project-proposal
current	ゲンザイイチ	project-proposal
digit_text	スウジノモジレツ	project-proposal
file_descriptor	ブンショキジュツバンゴウ_2	project-proposal
file_name	ブンショメイ	project-proposal
input	ニュウリョク	project-proposal
input_descriptor	ニュウリョクキジュツバンゴウ	project-proposal
input_line	ニュウリョクギョウ	project-proposal
input_stream	ニュウリョクシリョウリュウ	project-proposal
left	ヒダリ	project-proposal
length	ナガサ	project-proposal
message	デンブン	project-proposal
message_length	デンブンノハチケタグミスウ	project-proposal
name	タイケイシキベツジョウホウ	project-proposal
number	フゴウナシノオオキサ	project-proposal
operation	ショリ	project-proposal
output	シュツリョクイチ	project-proposal
overflow	フセイナニュウリョクギョウ	project-proposal
path	ケイロ	project-proposal
position	イチ	project-proposal
print_help	ツカイカタヲシメス	project-proposal
quote	インヨウフ	project-proposal
read_line	ニュウリョクギョウヲヨム	project-proposal
receive_address	ジュシンタンテンノバンチ	project-proposal
receive_socket	ジュシンツウシンタンテン	project-proposal
received_data	ジュシンシリョウ	project-proposal
received_length	ジュシンハチケタグミスウ	project-proposal
right	ミギ	project-proposal
run_input	ニュウリョクヲカイシャクスル	project-proposal
script_depth	メイレイブンショノイレコノフカサ	project-proposal
send_socket	ソウシンツウシンタンテン	project-proposal
size	ケタスウ	project-proposal
source_address	ソウシンタンテンノバンチ	project-proposal
source_address_length	ソウシンモトバンチノナガサ	project-proposal
split_arguments	ヒキスウヲワケル	project-proposal
status	ジョウタイ	project-proposal
text	モジレツ	project-proposal
text_equal	モジレツイッチ	project-proposal
text_length	モジレツノハチケタグミスウ	project-proposal
value	アタイ	project-proposal
wait_status	コジッコウカテイノシュウリョウジョウタイ	project-proposal
write_error	アヤマリヲシラセル	project-proposal
write_integer	セイスウヲカキダス	project-proposal
write_text	モジレツヲカキダス	project-proposal
