standard_identifier	native_identifier	category	current_role	status
in_addr_t	internetwork_address_value_type	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	transport_port_number_type	network-declaration	transport_port_number_type	project-proposal
in_addr	internetwork_address	network-declaration	internetwork_address	project-proposal
sockaddr_in	internetwork_endpoint_address	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	address_value	network-declaration	address_value	project-proposal
sin_family	internetwork_address_family	network-declaration	internetwork_address_family	project-proposal
sin_port	transport_port_number	network-declaration	transport_port_number	project-proposal
sin_addr	internetwork_address_field	network-declaration	internetwork_address_field	project-proposal
sin_zero	address_padding	network-declaration	address_padding	project-proposal
sa_family_t	address_family_type	network-declaration	address_family_type	project-proposal
sockaddr	endpoint_address	network-declaration	endpoint_address	project-proposal
sa_family	endpoint_address_family	network-declaration	endpoint_address_family	project-proposal
sa_data	address_payload	network-declaration	address_payload	project-proposal
socklen_t	address_length_type	network-declaration	address_length_type	project-proposal
AF_UNSPEC	unspecified_address_family	network-declaration	unspecified_address_family	project-proposal
AF_INET	internetwork_address_family_code	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	internetwork_protocol_family	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	stream_endpoint	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	datagram_endpoint	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	stop_receiving	network-declaration	stop_receiving	project-proposal
SHUT_WR	stop_sending	network-declaration	stop_sending	project-proposal
SHUT_RDWR	stop_both_directions	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	default_internetwork_protocol	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	user_datagram_protocol	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	any_local_address	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	loopback_address	network-declaration	loopback_address	project-proposal
hostlong	host_order_32_bit_value	network-declaration	host_order_32_bit_value	project-proposal
hostshort	host_order_16_bit_value	network-declaration	host_order_16_bit_value	project-proposal
netlong	network_order_32_bit_value	network-declaration	network_order_32_bit_value	project-proposal
netshort	network_order_16_bit_value	network-declaration	network_order_16_bit_value	project-proposal
size_t	object_size_type	scalar-type	object_size_type	project-proposal
ssize_t	signed_size_type	scalar-type	signed_size_type	project-proposal
ptrdiff_t	pointer_difference_type	scalar-type	pointer_difference_type	project-proposal
off_t	file_offset_type	scalar-type	file_offset_type	project-proposal
pid_t	process_identifier_type	scalar-type	process_identifier_type	project-proposal
uid_t	user_identifier_type	scalar-type	user_identifier_type	project-proposal
gid_t	group_identifier_type	scalar-type	group_identifier_type	project-proposal
mode_t	file_mode_type	scalar-type	file_mode_type	project-proposal
dev_t	device_identifier_type	scalar-type	device_identifier_type	project-proposal
ino_t	file_serial_number_type	scalar-type	file_serial_number_type	project-proposal
nlink_t	hard_link_count_type	scalar-type	hard_link_count_type	project-proposal
time_t	time_value_type	scalar-type	time_value_type	project-proposal
blksize_t	block_size_type	scalar-type	block_size_type	project-proposal
blkcnt_t	block_count_type	scalar-type	block_count_type	project-proposal
int8_t	signed_8_bit_integer	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	unsigned_8_bit_integer	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	signed_16_bit_integer	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	unsigned_16_bit_integer	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	signed_32_bit_integer	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	unsigned_32_bit_integer	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	signed_64_bit_integer	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	unsigned_64_bit_integer	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	pointer_sized_signed_integer	scalar-type	pointer_sized_signed_integer	project-proposal
uintptr_t	pointer_sized_unsigned_integer	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	containing_device	structure-field	containing_device	project-proposal
st_ino	file_serial_number	structure-field	file_serial_number	project-proposal
st_mode	file_kind_and_permissions	structure-field	file_kind_and_permissions	project-proposal
st_nlink	hard_link_count	structure-field	hard_link_count	project-proposal
st_uid	owner_user_identifier	structure-field	owner_user_identifier	project-proposal
st_gid	owner_group_identifier	structure-field	owner_group_identifier	project-proposal
st_rdev	represented_device	structure-field	represented_device	project-proposal
st_size	file_size	structure-field	file_size	project-proposal
st_blksize	preferred_io_block_size	structure-field	preferred_io_block_size	project-proposal
st_blocks	allocated_block_count	structure-field	allocated_block_count	project-proposal
st_atime	last_access_time	structure-field	last_access_time	project-proposal
st_atimensec	last_access_nanoseconds	structure-field	last_access_nanoseconds	project-proposal
st_mtime	last_content_change_time	structure-field	last_content_change_time	project-proposal
st_mtimensec	last_content_change_nanoseconds	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	last_status_change_time	structure-field	last_status_change_time	project-proposal
st_ctimensec	last_status_change_nanoseconds	structure-field	last_status_change_nanoseconds	project-proposal
utsname	system_identity_2	structure-field	system_identity	project-proposal
sysname	system_name	structure-field	system_name	project-proposal
nodename	node_name	structure-field	node_name	project-proposal
release	system_release	structure-field	system_release	project-proposal
version	system_version	structure-field	system_version	project-proposal
machine	machine_kind	structure-field	machine_kind	project-proposal
NULL	null_pointer	interface-constant	null_pointer	project-proposal
EXIT_SUCCESS	successful_exit	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	failed_exit	interface-constant	failed_exit	project-proposal
STDIN_FILENO	standard_input_descriptor	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	standard_output_descriptor	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	standard_error_descriptor	interface-constant	standard_error_descriptor	project-proposal
F_OK	test_existence	interface-constant	test_existence	project-proposal
R_OK	test_read_permission	interface-constant	test_read_permission	project-proposal
W_OK	test_write_permission	interface-constant	test_write_permission	project-proposal
X_OK	test_execute_permission	interface-constant	test_execute_permission	project-proposal
SEEK_SET	offset_from_start	interface-constant	offset_from_start	project-proposal
SEEK_CUR	offset_from_current	interface-constant	offset_from_current	project-proposal
SEEK_END	offset_from_end	interface-constant	offset_from_end	project-proposal
O_RDONLY	open_read_only	interface-constant	open_read_only	project-proposal
O_WRONLY	open_write_only	interface-constant	open_write_only	project-proposal
O_RDWR	open_read_write	interface-constant	open_read_write	project-proposal
O_ACCMODE	access_mode_mask	interface-constant	access_mode_mask	project-proposal
O_CREAT	create_if_missing	interface-constant	create_if_missing	project-proposal
O_EXCL	require_new_file	interface-constant	require_new_file	project-proposal
O_TRUNC	truncate_existing_file	interface-constant	truncate_existing_file	project-proposal
O_APPEND	append_at_end	interface-constant	append_at_end	project-proposal
O_DIRECTORY	require_directory	interface-constant	require_directory	project-proposal
F_DUPFD	duplicate_descriptor	interface-constant	duplicate_descriptor	project-proposal
F_GETFD	read_descriptor_flags	interface-constant	read_descriptor_flags	project-proposal
F_SETFD	set_descriptor_flags	interface-constant	set_descriptor_flags	project-proposal
F_GETFL	read_file_status_flags	interface-constant	read_file_status_flags	project-proposal
F_SETFL	set_file_status_flags	interface-constant	set_file_status_flags	project-proposal
FD_CLOEXEC	close_on_program_replacement	interface-constant	close_on_program_replacement	project-proposal
WNOHANG	do_not_wait_if_unready	interface-constant	do_not_wait_if_unready	project-proposal
WIFEXITED	exited_normally	interface-constant	exited_normally	project-proposal
WEXITSTATUS	extract_exit_status	interface-constant	extract_exit_status	project-proposal
S_IFMT	file_kind_mask	interface-constant	file_kind_mask	project-proposal
S_IFDIR	directory_kind	interface-constant	directory_kind	project-proposal
S_IFCHR	character_device_kind	interface-constant	character_device_kind	project-proposal
S_IFREG	regular_file_kind	interface-constant	regular_file_kind	project-proposal
S_IRUSR	owner_read_permission	interface-constant	owner_read_permission	project-proposal
S_IWUSR	owner_write_permission	interface-constant	owner_write_permission	project-proposal
S_IXUSR	owner_execute_permission	interface-constant	owner_execute_permission	project-proposal
S_IRGRP	group_read_permission	interface-constant	group_read_permission	project-proposal
S_IWGRP	group_write_permission	interface-constant	group_write_permission	project-proposal
S_IXGRP	group_execute_permission	interface-constant	group_execute_permission	project-proposal
S_IROTH	others_read_permission	interface-constant	others_read_permission	project-proposal
S_IWOTH	others_write_permission	interface-constant	others_write_permission	project-proposal
S_IXOTH	others_execute_permission	interface-constant	others_execute_permission	project-proposal
S_ISDIR	is_directory_mode	interface-constant	is_directory_mode	project-proposal
S_ISCHR	is_character_device_mode	interface-constant	is_character_device_mode	project-proposal
S_ISREG	is_regular_file_mode	interface-constant	is_regular_file_mode	project-proposal
EPERM	operation_not_permitted	error-code	operation_not_permitted	project-proposal
ENOENT	file_or_directory_missing	error-code	file_or_directory_missing	project-proposal
ESRCH	process_missing	error-code	process_missing	project-proposal
EINTR	operation_interrupted	error-code	operation_interrupted	project-proposal
EIO	input_output_error	error-code	input_output_error	project-proposal
E2BIG	argument_list_too_large	error-code	argument_list_too_large	project-proposal
ENOEXEC	invalid_executable_format	error-code	invalid_executable_format	project-proposal
EBADF	invalid_file_descriptor	error-code	invalid_file_descriptor	project-proposal
ECHILD	no_child_process	error-code	no_child_process	project-proposal
EAGAIN	temporarily_unavailable	error-code	temporarily_unavailable	project-proposal
ENOMEM	insufficient_memory	error-code	insufficient_memory	project-proposal
EACCES	permission_denied	error-code	permission_denied	project-proposal
EFAULT	invalid_memory_address	error-code	invalid_memory_address	project-proposal
EBUSY	resource_busy	error-code	resource_busy	project-proposal
EEXIST	file_already_exists	error-code	file_already_exists	project-proposal
ENODEV	device_missing	error-code	device_missing	project-proposal
ENOTDIR	not_a_directory	error-code	not_a_directory	project-proposal
EISDIR	is_a_directory	error-code	is_a_directory	project-proposal
EINVAL	invalid_argument	error-code	invalid_argument	project-proposal
ENFILE	system_file_limit	error-code	system_file_limit	project-proposal
EMFILE	process_file_limit	error-code	process_file_limit	project-proposal
ENOTTY	inappropriate_device_operation	error-code	inappropriate_device_operation	project-proposal
EFBIG	file_too_large	error-code	file_too_large	project-proposal
ENOSPC	no_storage_space	error-code	no_storage_space	project-proposal
ESPIPE	cannot_seek_stream	error-code	cannot_seek_stream	project-proposal
EROFS	read_only_filesystem	error-code	read_only_filesystem	project-proposal
ERANGE	value_out_of_range	error-code	value_out_of_range	project-proposal
ENOSYS	function_not_implemented	error-code	function_not_implemented	project-proposal
EMSGSIZE	message_too_large	error-code	message_too_large	project-proposal
EPROTONOSUPPORT	protocol_not_supported	error-code	protocol_not_supported	project-proposal
EOPNOTSUPP	operation_not_supported	error-code	operation_not_supported	project-proposal
EAFNOSUPPORT	address_family_not_supported	error-code	address_family_not_supported	project-proposal
EADDRINUSE	address_already_in_use	error-code	address_already_in_use	project-proposal
ENETUNREACH	network_unreachable	error-code	network_unreachable	project-proposal
ENOTCONN	endpoint_not_connected	error-code	endpoint_not_connected	project-proposal
CHAR_BIT	bits_per_byte	integer-limit	bits_per_byte	project-proposal
SCHAR_MIN	signed_char_minimum	integer-limit	signed_char_minimum	project-proposal
SCHAR_MAX	signed_char_maximum	integer-limit	signed_char_maximum	project-proposal
UCHAR_MAX	unsigned_char_maximum	integer-limit	unsigned_char_maximum	project-proposal
CHAR_MIN	char_minimum	integer-limit	char_minimum	project-proposal
CHAR_MAX	char_maximum	integer-limit	char_maximum	project-proposal
SHRT_MIN	short_integer_minimum	integer-limit	short_integer_minimum	project-proposal
SHRT_MAX	short_integer_maximum	integer-limit	short_integer_maximum	project-proposal
USHRT_MAX	unsigned_short_maximum	integer-limit	unsigned_short_maximum	project-proposal
INT_MIN	integer_minimum	integer-limit	integer_minimum	project-proposal
INT_MAX	integer_maximum	integer-limit	integer_maximum	project-proposal
UINT_MAX	unsigned_integer_maximum	integer-limit	unsigned_integer_maximum	project-proposal
LONG_MIN	long_integer_minimum	integer-limit	long_integer_minimum	project-proposal
LONG_MAX	long_integer_maximum	integer-limit	long_integer_maximum	project-proposal
ULONG_MAX	unsigned_long_maximum	integer-limit	unsigned_long_maximum	project-proposal
LLONG_MIN	long_long_integer_minimum	integer-limit	long_long_integer_minimum	project-proposal
