compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	inmatningsradens_kapacitet	project-proposal
MAX_ARGUMENT_COUNT	högsta_antal_argument	project-proposal
MAX_SCRIPT_DEPTH	högsta_kommandonästling	project-proposal
argument_count	antal_argument	project-proposal
arguments	argument_2	project-proposal
buffer	överföringsbuffert_2	project-proposal
bytes_read	lästa_byte	project-proposal
bytes_written	antal_skrivna_byte	project-proposal
capacity	kapacitet	project-proposal
character	tecken	project-proposal
child_pid	barnprocessens_identifierare	project-proposal
cleanup	stäng_kommunikationspunkter	project-proposal
command	kommando	project-proposal
command_aliases	lokala_kommandonamn	project-proposal
command_cat	visa_filinnehåll	project-proposal
command_echo	visa_argument	project-proposal
command_matches	kommando_stämmer	project-proposal
command_names	grundkommandon	project-proposal
command_pid	visa_processidentifierare	project-proposal
command_pwd	visa_arbetskatalog	project-proposal
command_run	kör_program	project-proposal
command_source	tolka_kommandofil	project-proposal
command_stat	visa_filinformation	project-proposal
command_udp	prova_datagrammets_återföring	project-proposal
command_uname	visa_systemidentitet	project-proposal
current	aktuell_position	project-proposal
digit_text	siffertecken	project-proposal
file_descriptor	filbeskrivare_2	project-proposal
file_name	filnamn	project-proposal
input	inmatning	project-proposal
input_descriptor	inmatningsbeskrivare	project-proposal
input_line	inmatningsrad	project-proposal
input_stream	inmatningsström	project-proposal
left	vänster	project-proposal
length	längd	project-proposal
message	meddelande	project-proposal
message_length	meddelandets_längd_i_byte	project-proposal
name	systemidentitet	project-proposal
number	storlek_utan_tecken	project-proposal
operation	åtgärd	project-proposal
output	utmatningsposition	project-proposal
overflow	ogiltig_inmatningsrad	project-proposal
path	sökväg	project-proposal
position	position	project-proposal
print_help	visa_hjälp	project-proposal
quote	citattecken	project-proposal
read_line	läs_inmatningsrad	project-proposal
receive_address	mottagaradress	project-proposal
receive_socket	mottagande_kommunikationspunkt	project-proposal
received_data	mottagna_data	project-proposal
received_length	antal_mottagna_byte	project-proposal
right	höger	project-proposal
run_input	tolka_inmatning	project-proposal
script_depth	kommandonästlingens_djup	project-proposal
send_socket	sändande_kommunikationspunkt	project-proposal
size	antal_siffror	project-proposal
source_address	avsändaradress	project-proposal
source_address_length	avsändaradressens_längd	project-proposal
split_arguments	dela_upp_argument	project-proposal
status	tillstånd	project-proposal
text	text	project-proposal
text_equal	texter_lika	project-proposal
text_length	textlängd_i_byte	project-proposal
value	värde	project-proposal
wait_status	barnprocessens_avslutningsstatus	project-proposal
write_error	rapportera_fel	project-proposal
write_integer	skriv_heltal	project-proposal
write_text	skriv_text	project-proposal
