before	after
asm/constante.inc	arranque_da_máquina/constante.inc
asm/gdt.inc	arranque_da_máquina/gdt.inc
asm/goasmDeslocamento.inc	arranque_da_máquina/goasmDeslocamento.inc
asm/multibootcabeçalho.s	arranque_da_máquina/multibootcabeçalho.s
asm/rt0.s	arranque_da_máquina/rt0.s
go.sh	compilar_núcleo.sh
linker.ld	disposição_de_ligação.ld
src/componente/componente.go	src/elemento_de_ecrã/elemento_de_ecrã.go
src/controlador/rato/rato.go	src/controlador/dispositivo_apontador/dispositivo_apontador.go
src/ethernetquadro/ethernetquadro.go	src/quadro_da_rede_de_meio_partilhado/quadro_da_rede_de_meio_partilhado.go
src/ficheirosistema/elf/elf.go	src/ficheirosistema/formato_executável_e_ligável/formato_executável_e_ligável.go
src/ficheirosistema/elf/elfcabeçalho.go	src/ficheirosistema/formato_executável_e_ligável/elfcabeçalho.go
src/ficheirosistema/elf/elfsecção.go	src/ficheirosistema/formato_executável_e_ligável/elfsecção.go
src/ficheirosistema/elf/ligaçãomapa.go	src/ficheirosistema/formato_executável_e_ligável/ligaçãomapa.go
src/icmp/icmp.go	src/protocolo_de_mensagens_de_controlo_de_rede_interligada/protocolo_de_mensagens_de_controlo_de_rede_interligada.go
src/ipv4/ipv4.go	src/protocolo_de_rede_interligada_4/protocolo_de_rede_interligada_4.go
src/udp/udp.go	src/protocolo_de_datagramas_do_utilizador/protocolo_de_datagramas_do_utilizador.go
tools/decode-virtualbox-log.sh	ferramentas/interpretar_registo_série.sh
tools/offsets.go	ferramentas/deslocamentos_de_estrutura.go
userland/posix/Makefile	espaço_do_utilizador/posix/Makefile
userland/posix/TEST_RESULTS.md	espaço_do_utilizador/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	espaço_do_utilizador/posix/declarações/arpa/inet.h
userland/posix/include/engos/syscall.h	espaço_do_utilizador/posix/declarações/engos/syscall.h
userland/posix/include/errno.h	espaço_do_utilizador/posix/declarações/errno.h
userland/posix/include/fcntl.h	espaço_do_utilizador/posix/declarações/fcntl.h
userland/posix/include/netinet/in.h	espaço_do_utilizador/posix/declarações/netinet/in.h
userland/posix/include/stddef.h	espaço_do_utilizador/posix/declarações/stddef.h
userland/posix/include/stdint.h	espaço_do_utilizador/posix/declarações/stdint.h
userland/posix/include/sys/socket.h	espaço_do_utilizador/posix/declarações/sys/socket.h
userland/posix/include/sys/stat.h	espaço_do_utilizador/posix/declarações/sys/stat.h
userland/posix/include/sys/types.h	espaço_do_utilizador/posix/declarações/sys/types.h
userland/posix/include/sys/utsname.h	espaço_do_utilizador/posix/declarações/sys/utsname.h
userland/posix/include/sys/wait.h	espaço_do_utilizador/posix/declarações/sys/wait.h
userland/posix/include/unistd.h	espaço_do_utilizador/posix/declarações/unistd.h
userland/posix/linker.ld	espaço_do_utilizador/posix/disposição_de_ligação.ld
userland/posix/src/crt0.S	espaço_do_utilizador/posix/implementação/arranque.S
userland/posix/src/errno.c	espaço_do_utilizador/posix/implementação/número_de_erro.c
userland/posix/src/fcntl.c	espaço_do_utilizador/posix/implementação/controlo_de_ficheiro.c
userland/posix/src/socket.c	espaço_do_utilizador/posix/implementação/socket.c
userland/posix/src/stat.c	espaço_do_utilizador/posix/implementação/estado_de_ficheiro.c
userland/posix/src/syscall.S	espaço_do_utilizador/posix/implementação/chamada_ao_sistema.S
userland/posix/src/unistd.c	espaço_do_utilizador/posix/implementação/unistd.c
userland/posix/tests/compile.c	espaço_do_utilizador/posix/testes/compile.c
userland/posix/tests/exec_runtime.c	espaço_do_utilizador/posix/testes/exec_runtime.c
userland/posix/tests/exec_target.c	espaço_do_utilizador/posix/testes/exec_target.c
userland/posix/tests/fork_runtime.c	espaço_do_utilizador/posix/testes/fork_runtime.c
userland/posix/tests/heap_runtime.c	espaço_do_utilizador/posix/testes/heap_runtime.c
userland/posix/tests/runtime.c	espaço_do_utilizador/posix/testes/runtime.c
userland/posix/tests/socket_runtime.c	espaço_do_utilizador/posix/testes/socket_runtime.c
userland/posix/tests/stdin_runtime.c	espaço_do_utilizador/posix/testes/stdin_runtime.c
