before	after
asm/gdt.inc	запуск_машини/gdt.inc
asm/goasmoffset.inc	запуск_машини/goasmoffset.inc
asm/multibootheader.s	запуск_машини/multibootheader.s
asm/rt0.s	запуск_машини/rt0.s
asm/стала.inc	запуск_машини/стала.inc
go.sh	зібрати_ядро.sh
linker.ld	схема_компонування.ld
src/driver/миша/миша.go	src/driver/вказівний_пристрій/вказівний_пристрій.go
src/ethernetБлок/ethernetБлок.go	src/кадр_мережі_зі_спільним_середовищем/кадр_мережі_зі_спільним_середовищем.go
src/icmp/icmp.go	src/протокол_керувальних_повідомлень_обʼєднаної_мережі/протокол_керувальних_повідомлень_обʼєднаної_мережі.go
src/ipv4/ipv4.go	src/протокол_обʼєднаної_мережі_4/протокол_обʼєднаної_мережі_4.go
src/udp/udp.go	src/протокол_користувацьких_датаграм/протокол_користувацьких_датаграм.go
src/віджет/віджет.go	src/елемент_екрана/елемент_екрана.go
src/файлСистема/elf/elf.go	src/файлСистема/виконуваний_і_компонований_формат/виконуваний_і_компонований_формат.go
src/файлСистема/elf/elfheader.go	src/файлСистема/виконуваний_і_компонований_формат/elfheader.go
src/файлСистема/elf/elfsection.go	src/файлСистема/виконуваний_і_компонований_формат/elfsection.go
src/файлСистема/elf/посиланняmap.go	src/файлСистема/виконуваний_і_компонований_формат/посиланняmap.go
tools/decode-virtualbox-log.sh	інструменти/розібрати_послідовний_журнал.sh
tools/offsets.go	інструменти/зсуви_структури.go
userland/posix/Makefile	простір_користувача/posix/Makefile
userland/posix/TEST_RESULTS.md	простір_користувача/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	простір_користувача/posix/оголошення/arpa/inet.h
userland/posix/include/engos/syscall.h	простір_користувача/posix/оголошення/engos/syscall.h
userland/posix/include/errno.h	простір_користувача/posix/оголошення/errno.h
userland/posix/include/fcntl.h	простір_користувача/posix/оголошення/fcntl.h
userland/posix/include/netinet/in.h	простір_користувача/posix/оголошення/netinet/in.h
userland/posix/include/stddef.h	простір_користувача/posix/оголошення/stddef.h
userland/posix/include/stdint.h	простір_користувача/posix/оголошення/stdint.h
userland/posix/include/sys/socket.h	простір_користувача/posix/оголошення/sys/socket.h
userland/posix/include/sys/stat.h	простір_користувача/posix/оголошення/sys/stat.h
userland/posix/include/sys/types.h	простір_користувача/posix/оголошення/sys/types.h
userland/posix/include/sys/utsname.h	простір_користувача/posix/оголошення/sys/utsname.h
userland/posix/include/sys/wait.h	простір_користувача/posix/оголошення/sys/wait.h
userland/posix/include/unistd.h	простір_користувача/posix/оголошення/unistd.h
userland/posix/linker.ld	простір_користувача/posix/схема_компонування.ld
userland/posix/src/crt0.S	простір_користувача/posix/реалізація/запуск.S
userland/posix/src/errno.c	простір_користувача/posix/реалізація/номер_помилки.c
userland/posix/src/fcntl.c	простір_користувача/posix/реалізація/керування_файлом.c
userland/posix/src/socket.c	простір_користувача/posix/реалізація/socket.c
userland/posix/src/stat.c	простір_користувача/posix/реалізація/стан_файла.c
userland/posix/src/syscall.S	простір_користувача/posix/реалізація/системний_виклик.S
userland/posix/src/unistd.c	простір_користувача/posix/реалізація/unistd.c
userland/posix/tests/compile.c	простір_користувача/posix/випробування/compile.c
userland/posix/tests/exec_runtime.c	простір_користувача/posix/випробування/exec_runtime.c
userland/posix/tests/exec_target.c	простір_користувача/posix/випробування/exec_target.c
userland/posix/tests/fork_runtime.c	простір_користувача/posix/випробування/fork_runtime.c
userland/posix/tests/heap_runtime.c	простір_користувача/posix/випробування/heap_runtime.c
userland/posix/tests/runtime.c	простір_користувача/posix/випробування/runtime.c
userland/posix/tests/socket_runtime.c	простір_користувача/posix/випробування/socket_runtime.c
userland/posix/tests/stdin_runtime.c	простір_користувача/posix/випробування/stdin_runtime.c
