original	compiler	native	status
Activate	Покрени	Покрени	existing-unreviewed
ActivateAll	ПокрениСве	ПокрениСве	existing-unreviewed
Active	Активна	Активна	existing-unreviewed
ActiveInterruptManager	АктивнаОметањеmanager	АктивнаОметањеmanager	existing-unreviewed
ActiveMemoryManager	АктивнаМеморијаmanager	АктивнаМеморијаmanager	existing-unreviewed
Add	Додај	Додај	existing-unreviewed
AddDriver	Додајdriver	Додајdriver	existing-unreviewed
AddRunnableThread	Додајrunnablethread	Додајrunnablethread	existing-unreviewed
AddTask	ДодајЗадатак	ДодајЗадатак	existing-unreviewed
AddThread	Додајthread	Додајthread	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	AllocateБлок	AllocateБлок	existing-unreviewed
AllocatePID	AllocateПИД	AllocateПИД	existing-unreviewed
AmountOfMemory	ИзносодМеморија	ИзносодМеморија	existing-unreviewed
ArrayToUint16	Низtounsignedinteger16	Низtounsignedinteger16	existing-unreviewed
ArrayToUint32	Низtounsignedinteger32	Низtounsignedinteger32	existing-unreviewed
ArrayToUint48	Низtounsignedinteger48	Низtounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	Низtounsignedinteger48be	Низtounsignedinteger48be	existing-unreviewed
ArrayToUint64	Низtounsignedinteger64	Низtounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	Блокperbyte	Блокperbyte	existing-unreviewed
BLOCK_SIZE	БлокВеличина	БлокВеличина	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bind	Bind	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	BlockedСтање	BlockedСтање	existing-unreviewed
Blocks	Блок	Блок	existing-unreviewed
BoundRangeExceeded	BoundОпсегexceeded	BoundОпсегexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	Бајтоваpersector	Бајтоваpersector	existing-unreviewed
BytesToString	Бајтоваtoниска	Бајтоваtoниска	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	Очисти	Очисти	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddressразмакcow	Cloneaddressразмакcow	existing-unreviewed
Connect	Повежисе	Повежисе	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	УмножиСТРАНАОквирБлок	УмножиСТРАНАОквирБлок	existing-unreviewed
CpuState	ПроцесорСтање	ПроцесорСтање	existing-unreviewed
Create	Create	Create	existing-unreviewed
CreateFromData	Createсаdata	Createсаdata	existing-unreviewed
CreateFromFunction	Createсафункција	Createсафункција	existing-unreviewed
CreatePtrFromFunction	CreateПоказивачсафункција	CreateПоказивачсафункција	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	ТренутноПИД	ТренутноПИД	existing-unreviewed
CurrentParentPID	ТренутнонадређениПИД	ТренутнонадређениПИД	existing-unreviewed
