compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/தொடர்பு_முகவரி_மாற்றம்/எட்டு_இரும_இலக்கக்_குழு_வரிசை.h
include/sys/syscall.h	include/அமைப்பு/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/பிணையங்களிடை/முகவரி.h
include/stddef.h	include/அடிப்படை_வரையறைகள்.h
include/stdint.h	include/முழுஎண்_வகைகள்.h
include/sys/socket.h	include/அமைப்பு/socket.h
include/sys/stat.h	include/அமைப்பு/stat.h
include/sys/types.h	include/அமைப்பு/தரவு_வகைகள்.h
include/sys/utsname.h	include/அமைப்பு/அமைப்பு_அடையாளம்.h
include/sys/wait.h	include/அமைப்பு/சேய்_காத்திருப்பு.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/தொகுப்பு_சரிபார்ப்பு.c
tests/exec_runtime.c	tests/நிரல்_மாற்றச்_சோதனை.c
tests/exec_target.c	tests/மாற்ற_இலக்கு.c
tests/fork_runtime.c	tests/செயல்முறைக்_கிளைச்_சோதனை.c
tests/heap_runtime.c	tests/இயங்குநிலை_நினைவகச்_சோதனை.c
tests/runtime.c	tests/இயக்கச்_சோதனை.c
tests/socket_runtime.c	tests/தொடர்பு_முனைச்_சோதனை.c
tests/stdin_runtime.c	tests/நிலையான_உள்ளீட்டுச்_சோதனை.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
