function	native_identifier	implementation	limits
_exit	तुरंत_समाप्त_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	पढ़ना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	लिखना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	बंद_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	पठन_लेखन_स्थिति_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	संतान_प्रक्रिया_बनाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	निष्पादन_सामग्री_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	प्रक्रिया_पहचान_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	जनक_प्रक्रिया_पहचान_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	उपयोगकर्ता_पहचान_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	प्रभावी_उपयोगकर्ता_पहचान_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	समूह_पहचान_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	प्रभावी_समूह_पहचान_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	पहुँच_अनुमति_जाँचना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	कार्य_निर्देशिका_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	कार्य_निर्देशिका_पथ_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	खुली_संचिका_संदर्भ_की_प्रतिलिपि_बनाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	नियत_क्रमांक_पर_संचिका_संदर्भ_प्रतिलिपि_बनाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	संचिका_अभिलेख_समकालित_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	सभी_अभिलेख_समकालित_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	अंतक_है_या_नहीं_जाँचना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	गतिशील_स्मृति_अंत_निर्धारित_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	गतिशील_स्मृति_अंत_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	नियत_संतान_की_प्रतीक्षा_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	संतान_की_प्रतीक्षा_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	खोलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	संचिका_बनाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	संचिका_नियंत्रित_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	संचिका_स्थिति	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	कड़ी_की_अपनी_स्थिति_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	खुली_संचिका_स्थिति_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	प्रणाली_जानकारी_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	_16_अंकों_को_संजाल_क्रम_में_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	_16_अंकों_को_यंत्र_क्रम_में_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	_32_अंकों_को_संजाल_क्रम_में_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	_32_अंकों_को_यंत्र_क्रम_में_बदलना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	संचार_छोर_बनाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	स्थानीय_पता_बाँधना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	दूसरे_छोर_से_जुड़ना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	जुड़ाव_अनुरोध_के_लिए_तैयार_होना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	जुड़ाव_स्वीकार_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	स्थानीय_छोर_पता_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	दूसरे_छोर_का_पता_पाना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	भेजना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	प्राप्त_करना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	गंतव्य_पर_भेजना	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
