PASS ABW independent make vbox entry; no VM changes
PASS AFG independent make vbox entry; no VM changes
PASS AGO independent make vbox entry; no VM changes
PASS AIA independent make vbox entry; no VM changes
PASS ALA independent make vbox entry; no VM changes
PASS ALB independent make vbox entry; no VM changes
PASS AND independent make vbox entry; no VM changes
PASS ARE independent make vbox entry; no VM changes
PASS ARG independent make vbox entry; no VM changes
PASS ARM independent make vbox entry; no VM changes
PASS ASM independent make vbox entry; no VM changes
PASS ATA independent make vbox entry; no VM changes
PASS ATF independent make vbox entry; no VM changes
PASS ATG independent make vbox entry; no VM changes
PASS AUS independent make vbox entry; no VM changes
PASS AUT independent make vbox entry; no VM changes
PASS AZE independent make vbox entry; no VM changes
PASS BDI independent make vbox entry; no VM changes
PASS BEL independent make vbox entry; no VM changes
PASS BEN independent make vbox entry; no VM changes
PASS BES independent make vbox entry; no VM changes
PASS BFA independent make vbox entry; no VM changes
PASS BGD independent make vbox entry; no VM changes
PASS BGR independent make vbox entry; no VM changes
PASS BHR independent make vbox entry; no VM changes
PASS BHS independent make vbox entry; no VM changes
PASS BIH independent make vbox entry; no VM changes
PASS BLM independent make vbox entry; no VM changes
PASS BLR independent make vbox entry; no VM changes
PASS BLZ independent make vbox entry; no VM changes
PASS BMU independent make vbox entry; no VM changes
PASS BOL independent make vbox entry; no VM changes
PASS BRA independent make vbox entry; no VM changes
PASS BRB independent make vbox entry; no VM changes
PASS BRN independent make vbox entry; no VM changes
PASS BTN independent make vbox entry; no VM changes
PASS BVT independent make vbox entry; no VM changes
PASS BWA independent make vbox entry; no VM changes
PASS CAF independent make vbox entry; no VM changes
PASS CAN independent make vbox entry; no VM changes
PASS CCK independent make vbox entry; no VM changes
PASS CHE independent make vbox entry; no VM changes
PASS CHL independent make vbox entry; no VM changes
PASS CHN independent make vbox entry; no VM changes
PASS CIV independent make vbox entry; no VM changes
PASS CMR independent make vbox entry; no VM changes
PASS COD independent make vbox entry; no VM changes
PASS COG independent make vbox entry; no VM changes
PASS COK independent make vbox entry; no VM changes
PASS COL independent make vbox entry; no VM changes
PASS COM independent make vbox entry; no VM changes
PASS CPV independent make vbox entry; no VM changes
PASS CRI independent make vbox entry; no VM changes
PASS CUB independent make vbox entry; no VM changes
PASS CUW independent make vbox entry; no VM changes
PASS CXR independent make vbox entry; no VM changes
PASS CYM independent make vbox entry; no VM changes
PASS CYP independent make vbox entry; no VM changes
PASS CZE independent make vbox entry; no VM changes
PASS DEU independent make vbox entry; no VM changes
PASS DJI independent make vbox entry; no VM changes
PASS DMA independent make vbox entry; no VM changes
PASS DNK independent make vbox entry; no VM changes
PASS DOM independent make vbox entry; no VM changes
PASS DZA independent make vbox entry; no VM changes
PASS ECU independent make vbox entry; no VM changes
PASS EGY independent make vbox entry; no VM changes
PASS ERI independent make vbox entry; no VM changes
PASS ESH independent make vbox entry; no VM changes
PASS ESP independent make vbox entry; no VM changes
PASS EST independent make vbox entry; no VM changes
PASS ETH independent make vbox entry; no VM changes
PASS FIN independent make vbox entry; no VM changes
PASS FJI independent make vbox entry; no VM changes
PASS FLK independent make vbox entry; no VM changes
PASS FRA independent make vbox entry; no VM changes
PASS FRO independent make vbox entry; no VM changes
PASS FSM independent make vbox entry; no VM changes
