compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	pojemność_wiersza_wejścia	project-proposal
MAX_ARGUMENT_COUNT	maksymalna_liczba_argumentów	project-proposal
MAX_SCRIPT_DEPTH	maksymalne_zagnieżdżenie_plików_poleceń	project-proposal
argument_count	liczba_argumentów	project-proposal
arguments	argumenty	project-proposal
buffer	bufor_przesyłania_2	project-proposal
bytes_read	odczytane_bajty	project-proposal
bytes_written	liczba_zapisanych_bajtów	project-proposal
capacity	pojemność	project-proposal
character	znak	project-proposal
child_pid	identyfikator_procesu_potomnego	project-proposal
cleanup	zamknij_punkty_komunikacji	project-proposal
command	polecenie	project-proposal
command_aliases	lokalne_nazwy_poleceń	project-proposal
command_cat	pokaż_zawartość_pliku	project-proposal
command_echo	wypisz_argumenty	project-proposal
command_matches	polecenie_pasuje	project-proposal
command_names	polecenia_podstawowe	project-proposal
command_pid	pokaż_identyfikatory_procesów	project-proposal
command_pwd	pokaż_katalog_roboczy	project-proposal
command_run	uruchom_program	project-proposal
command_source	interpretuj_plik_poleceń	project-proposal
command_stat	pokaż_informacje_o_pliku	project-proposal
command_udp	sprawdź_powrót_datagramu	project-proposal
command_uname	pokaż_tożsamość_systemu	project-proposal
current	bieżąca_pozycja	project-proposal
digit_text	znaki_cyfr	project-proposal
file_descriptor	deskryptor_pliku_2	project-proposal
file_name	nazwa_pliku	project-proposal
input	wejście	project-proposal
input_descriptor	deskryptor_wejścia	project-proposal
input_line	wiersz_wejścia	project-proposal
input_stream	strumień_wejściowy	project-proposal
left	lewy	project-proposal
length	długość	project-proposal
message	wiadomość	project-proposal
message_length	długość_wiadomości_w_bajtach	project-proposal
name	tożsamość_systemu	project-proposal
number	wartość_bez_znaku	project-proposal
operation	operacja	project-proposal
output	pozycja_wyjścia	project-proposal
overflow	nieprawidłowy_wiersz_wejścia	project-proposal
path	ścieżka	project-proposal
position	pozycja	project-proposal
print_help	pokaż_pomoc	project-proposal
quote	cudzysłów	project-proposal
read_line	odczytaj_wiersz_wejścia	project-proposal
receive_address	adres_odbiorcy	project-proposal
receive_socket	punkt_odbiorczy	project-proposal
received_data	odebrane_dane	project-proposal
received_length	liczba_odebranych_bajtów	project-proposal
right	prawy	project-proposal
run_input	interpretuj_wejście	project-proposal
script_depth	głębokość_zagnieżdżenia_plików_poleceń	project-proposal
send_socket	punkt_nadawczy	project-proposal
size	liczba_cyfr	project-proposal
source_address	adres_nadawcy	project-proposal
source_address_length	długość_adresu_nadawcy	project-proposal
split_arguments	rozdziel_argumenty	project-proposal
status	stan	project-proposal
text	tekst	project-proposal
text_equal	teksty_równe	project-proposal
text_length	długość_tekstu_w_bajtach	project-proposal
value	wartość	project-proposal
wait_status	stan_zakończenia_procesu_potomnego	project-proposal
write_error	zgłoś_błąd	project-proposal
write_integer	wypisz_liczbę_całkowitą	project-proposal
write_text	wypisz_tekst	project-proposal
