standard_identifier	native_identifier	category	current_role	status
in_addr_t	상호연결망주소값형	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	통신창구번호형	network-declaration	transport_port_number_type	project-proposal
in_addr	상호연결망주소	network-declaration	internetwork_address	project-proposal
sockaddr_in	상호연결망끝점주소	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	주소값	network-declaration	address_value	project-proposal
sin_family	연결망주소계열	network-declaration	internetwork_address_family	project-proposal
sin_port	통신창구번호	network-declaration	transport_port_number	project-proposal
sin_addr	연결망주소내용	network-declaration	internetwork_address_field	project-proposal
sin_zero	주소맞춤채움	network-declaration	address_padding	project-proposal
sa_family_t	주소계열형	network-declaration	address_family_type	project-proposal
sockaddr	통신끝점주소	network-declaration	endpoint_address	project-proposal
sa_family	끝점주소계열	network-declaration	endpoint_address_family	project-proposal
sa_data	주소자료	network-declaration	address_payload	project-proposal
socklen_t	주소길이형	network-declaration	address_length_type	project-proposal
AF_UNSPEC	주소계열미지정	network-declaration	unspecified_address_family	project-proposal
AF_INET	상호연결망주소계열	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	상호연결망규약계열	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	자료흐름끝점	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	자료전문끝점	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	수신중단	network-declaration	stop_receiving	project-proposal
SHUT_WR	송신중단	network-declaration	stop_sending	project-proposal
SHUT_RDWR	양방향중단	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	상호연결망기본규약	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	사용자자료전문규약	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	모든지역주소	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	자기되돌림주소	network-declaration	loopback_address	project-proposal
hostlong	기계순서32이진자리값	network-declaration	host_order_32_bit_value	project-proposal
hostshort	기계순서16이진자리값	network-declaration	host_order_16_bit_value	project-proposal
netlong	통신망순서32이진자리값	network-declaration	network_order_32_bit_value	project-proposal
netshort	통신망순서16이진자리값	network-declaration	network_order_16_bit_value	project-proposal
size_t	크기형	scalar-type	object_size_type	project-proposal
ssize_t	부호있는크기형	scalar-type	signed_size_type	project-proposal
ptrdiff_t	주소차이형	scalar-type	pointer_difference_type	project-proposal
off_t	자료위치형	scalar-type	file_offset_type	project-proposal
pid_t	실행과정번호형	scalar-type	process_identifier_type	project-proposal
uid_t	사용자번호형	scalar-type	user_identifier_type	project-proposal
gid_t	무리번호형	scalar-type	group_identifier_type	project-proposal
mode_t	자료철방식형	scalar-type	file_mode_type	project-proposal
dev_t	장치번호형	scalar-type	device_identifier_type	project-proposal
ino_t	자료철고유번호형	scalar-type	file_serial_number_type	project-proposal
nlink_t	직접연결수형	scalar-type	hard_link_count_type	project-proposal
time_t	시각값형	scalar-type	time_value_type	project-proposal
blksize_t	구획크기형	scalar-type	block_size_type	project-proposal
blkcnt_t	구획수형	scalar-type	block_count_type	project-proposal
