compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	선언/통신주소/여덟자리묶음순서.h
include/sys/syscall.h	선언/체계/체계호출.h
include/errno.h	선언/오류번호.h
include/fcntl.h	선언/자료철제어.h
include/netinet/in.h	선언/상호연결망/주소.h
include/stddef.h	선언/기본정의.h
include/stdint.h	선언/정수형.h
include/sys/socket.h	선언/체계/통신끝점.h
include/sys/stat.h	선언/체계/자료철상태.h
include/sys/types.h	선언/체계/자료형.h
include/sys/utsname.h	선언/체계/체제정보.h
include/sys/wait.h	선언/체계/자식대기.h
include/unistd.h	선언/입출력과실행.h
linker.ld	연결배치.ld
src/crt0.S	구현/시작.S
src/errno.c	구현/오류번호.c
src/fcntl.c	구현/자료철제어.c
src/socket.c	구현/통신끝점.c
src/stat.c	구현/자료철상태.c
src/syscall.S	구현/체계호출.S
src/unistd.c	구현/입출력과실행.c
tests/compile.c	시험/번역검사.c
tests/exec_runtime.c	시험/실행내용교체시험.c
tests/exec_target.c	시험/교체실행대상.c
tests/fork_runtime.c	시험/실행과정분기시험.c
tests/heap_runtime.c	시험/동적기억시험.c
tests/runtime.c	시험/실행시험.c
tests/socket_runtime.c	시험/통신끝점시험.c
tests/stdin_runtime.c	시험/표준입력시험.c
include/ctype.h	선언/문자분류.h
include/limits.h	선언/정수한계.h
include/stdlib.h	선언/일반함수.h
include/string.h	선언/문자열과기억내용.h
include/strings.h	선언/문자열대소비교.h
src/allocation.c	구현/기억공간관리.c
src/ctype.c	구현/문자분류.c
src/stdlib.c	구현/일반함수.c
src/string.c	구현/문자열과기억내용.c
tests/library.c	시험/함수모음시험.c
tests/library_main.c	시험/함수모음시험시작.c
tests/probe.c	시험/현지어호출시험.c
