compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	kapasitas_baris_masukan	project-proposal
MAX_ARGUMENT_COUNT	jumlah_argumen_maksimum	project-proposal
MAX_SCRIPT_DEPTH	kedalaman_berkas_perintah_maksimum	project-proposal
argument_count	jumlah_argumen	project-proposal
arguments	argumen	project-proposal
buffer	penyangga_transfer_2	project-proposal
bytes_read	byte_terbaca	project-proposal
bytes_written	jumlah_byte_ditulis	project-proposal
capacity	kapasitas	project-proposal
character	karakter	project-proposal
child_pid	pengenal_proses_anak	project-proposal
cleanup	tutup_ujung_komunikasi	project-proposal
command	perintah	project-proposal
command_aliases	nama_perintah_setempat	project-proposal
command_cat	tampilkan_isi_berkas	project-proposal
command_echo	tampilkan_argumen	project-proposal
command_matches	perintah_cocok	project-proposal
command_names	perintah_acuan	project-proposal
command_pid	tampilkan_pengenal_proses	project-proposal
command_pwd	tampilkan_direktori_kerja	project-proposal
command_run	jalankan_program	project-proposal
command_source	tafsirkan_berkas_perintah	project-proposal
command_stat	tampilkan_informasi_berkas	project-proposal
command_udp	uji_pengembalian_datagram	project-proposal
command_uname	tampilkan_identitas_sistem	project-proposal
current	posisi_saat_ini	project-proposal
digit_text	karakter_digit	project-proposal
file_descriptor	deskriptor_berkas_2	project-proposal
file_name	nama_berkas	project-proposal
input	masukan	project-proposal
input_descriptor	deskriptor_masukan	project-proposal
input_line	baris_masukan	project-proposal
input_stream	aliran_masukan	project-proposal
left	kiri	project-proposal
length	panjang	project-proposal
message	pesan	project-proposal
message_length	panjang_pesan_dalam_byte	project-proposal
name	identitas_sistem	project-proposal
number	besar_tanpa_tanda	project-proposal
operation	operasi	project-proposal
output	posisi_keluaran	project-proposal
overflow	baris_masukan_tidak_sah	project-proposal
path	jalur	project-proposal
position	posisi	project-proposal
print_help	tampilkan_bantuan	project-proposal
quote	tanda_kutip	project-proposal
read_line	baca_baris_masukan	project-proposal
receive_address	alamat_penerima	project-proposal
receive_socket	ujung_komunikasi_penerima	project-proposal
received_data	data_diterima	project-proposal
received_length	jumlah_byte_diterima	project-proposal
right	kanan	project-proposal
run_input	tafsirkan_masukan	project-proposal
script_depth	kedalaman_berkas_perintah	project-proposal
send_socket	ujung_komunikasi_pengirim	project-proposal
size	jumlah_digit	project-proposal
source_address	alamat_pengirim	project-proposal
source_address_length	panjang_alamat_pengirim	project-proposal
split_arguments	pisahkan_argumen	project-proposal
status	status	project-proposal
text	teks	project-proposal
text_equal	teks_sama	project-proposal
text_length	panjang_teks_dalam_byte	project-proposal
value	nilai	project-proposal
wait_status	status_penghentian_proses_anak	project-proposal
write_error	laporkan_galat	project-proposal
write_integer	tulis_bilangan_bulat	project-proposal
write_text	tulis_teks	project-proposal
