compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	capaciteit_van_invoerregel	project-proposal
MAX_ARGUMENT_COUNT	maximaal_aantal_argumenten	project-proposal
MAX_SCRIPT_DEPTH	maximale_opdrachtnesting	project-proposal
argument_count	aantal_argumenten	project-proposal
arguments	argumenten	project-proposal
buffer	overdrachtsbuffer_2	project-proposal
bytes_read	gelezen_bytes	project-proposal
bytes_written	aantal_geschreven_bytes	project-proposal
capacity	capaciteit	project-proposal
character	teken	project-proposal
child_pid	nummer_van_kindproces	project-proposal
cleanup	communicatiepunten_sluiten	project-proposal
command	opdracht	project-proposal
command_aliases	lokale_opdrachtnamen	project-proposal
command_cat	bestandsinhoud_tonen	project-proposal
command_echo	argumenten_tonen	project-proposal
command_matches	opdracht_komt_overeen	project-proposal
command_names	basisopdrachten	project-proposal
command_pid	procesnummers_tonen	project-proposal
command_pwd	werkmap_tonen	project-proposal
command_run	programma_uitvoeren	project-proposal
command_source	opdrachtbestand_vertolken	project-proposal
command_stat	bestandsinformatie_tonen	project-proposal
command_udp	terugkeer_van_datagram_testen	project-proposal
command_uname	systeemidentiteit_tonen	project-proposal
current	huidige_positie	project-proposal
digit_text	cijfertekens	project-proposal
file_descriptor	bestandsdescriptor_2	project-proposal
file_name	bestandsnaam	project-proposal
input	invoer	project-proposal
input_descriptor	invoerdescriptor	project-proposal
input_line	invoerregel	project-proposal
input_stream	invoerstroom	project-proposal
left	links	project-proposal
length	lengte	project-proposal
message	bericht	project-proposal
message_length	berichtlengte_in_bytes	project-proposal
name	systeemidentiteit	project-proposal
number	grootte_zonder_teken	project-proposal
operation	bewerking	project-proposal
output	uitvoerpositie	project-proposal
overflow	ongeldige_invoerregel	project-proposal
path	pad	project-proposal
position	positie	project-proposal
print_help	hulp_tonen	project-proposal
quote	aanhalingsteken	project-proposal
read_line	invoerregel_lezen	project-proposal
receive_address	ontvangstadres	project-proposal
receive_socket	ontvangend_communicatiepunt	project-proposal
received_data	ontvangen_gegevens	project-proposal
received_length	aantal_ontvangen_bytes	project-proposal
right	rechts	project-proposal
run_input	invoer_vertolken	project-proposal
script_depth	diepte_van_opdrachtnesting	project-proposal
send_socket	verzendend_communicatiepunt	project-proposal
size	aantal_cijfers	project-proposal
source_address	afzenderadres	project-proposal
source_address_length	lengte_van_afzenderadres	project-proposal
split_arguments	argumenten_scheiden	project-proposal
status	toestand	project-proposal
text	tekst	project-proposal
text_equal	teksten_gelijk	project-proposal
text_length	tekstlengte_in_bytes	project-proposal
value	waarde	project-proposal
wait_status	eindstatus_van_kindproces	project-proposal
write_error	fout_melden	project-proposal
write_integer	geheel_getal_schrijven	project-proposal
write_text	tekst_schrijven	project-proposal
