compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	capacidad_de_la_línea_de_entrada	project-proposal
MAX_ARGUMENT_COUNT	máximo_de_argumentos	project-proposal
MAX_SCRIPT_DEPTH	máximo_anidamiento_de_archivos_de_órdenes	project-proposal
argument_count	cantidad_de_argumentos	project-proposal
arguments	argumentos	project-proposal
buffer	memoria_intermedia_de_transferencia_2	project-proposal
bytes_read	octetos_leídos	project-proposal
bytes_written	cantidad_de_octetos_escritos	project-proposal
capacity	capacidad	project-proposal
character	carácter	project-proposal
child_pid	identificador_del_proceso_hijo	project-proposal
cleanup	cerrar_extremos_de_comunicación	project-proposal
command	orden	project-proposal
command_aliases	alias_locales_de_órdenes	project-proposal
command_cat	mostrar_contenido_del_archivo	project-proposal
command_echo	mostrar_argumentos	project-proposal
command_matches	coincide_la_orden	project-proposal
command_names	órdenes_de_referencia	project-proposal
command_pid	mostrar_identificadores_de_procesos	project-proposal
command_pwd	mostrar_directorio_actual	project-proposal
command_run	ejecutar_programa	project-proposal
command_source	interpretar_archivo_de_órdenes	project-proposal
command_stat	mostrar_información_del_archivo	project-proposal
command_udp	probar_retorno_del_datagrama	project-proposal
command_uname	mostrar_identidad_del_sistema	project-proposal
current	posición_actual	project-proposal
digit_text	caracteres_de_los_dígitos	project-proposal
file_descriptor	descriptor_del_archivo_2	project-proposal
file_name	nombre_del_archivo	project-proposal
input	entrada	project-proposal
input_descriptor	descriptor_de_entrada	project-proposal
input_line	línea_de_entrada	project-proposal
input_stream	flujo_de_entrada	project-proposal
left	izquierda	project-proposal
length	longitud	project-proposal
message	mensaje	project-proposal
message_length	longitud_del_mensaje_en_octetos	project-proposal
name	identidad_del_sistema	project-proposal
number	magnitud_sin_signo	project-proposal
operation	operación	project-proposal
output	posición_de_salida	project-proposal
overflow	línea_de_entrada_inválida	project-proposal
path	ruta	project-proposal
position	posición	project-proposal
print_help	mostrar_ayuda	project-proposal
quote	comilla	project-proposal
read_line	leer_línea_de_entrada	project-proposal
receive_address	dirección_de_recepción	project-proposal
receive_socket	extremo_receptor	project-proposal
received_data	datos_recibidos	project-proposal
received_length	cantidad_de_octetos_recibidos	project-proposal
right	derecha	project-proposal
run_input	interpretar_entrada	project-proposal
script_depth	profundidad_de_anidamiento	project-proposal
send_socket	extremo_emisor	project-proposal
size	cantidad_de_dígitos	project-proposal
source_address	dirección_del_remitente	project-proposal
source_address_length	longitud_de_la_dirección_del_remitente	project-proposal
split_arguments	separar_argumentos	project-proposal
status	estado	project-proposal
text	texto	project-proposal
text_equal	textos_iguales	project-proposal
text_length	longitud_del_texto_en_octetos	project-proposal
value	valor	project-proposal
wait_status	estado_de_terminación_del_hijo	project-proposal
write_error	informar_del_error	project-proposal
write_integer	escribir_entero	project-proposal
write_text	escribir_texto	project-proposal
