function	native_identifier	implementation	limits
_exit	terminer_immédiatement	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	lire	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	écrire	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	fermer	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	déplacer_la_position_de_fichier	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	dédoubler_le_processus	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	remplacer_le_programme_exécuté	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	obtenir_identifiant_du_processus	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	obtenir_identifiant_du_parent	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	obtenir_identifiant_utilisateur	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	obtenir_identifiant_utilisateur_effectif	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	obtenir_identifiant_du_groupe	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	obtenir_identifiant_du_groupe_effectif	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	vérifier_les_droits_accès	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	changer_le_répertoire_courant	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	obtenir_le_chemin_du_répertoire_courant	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	dupliquer_la_référence_de_fichier_ouvert	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	dupliquer_la_référence_vers_un_numéro	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	synchroniser_les_données_du_fichier	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	synchroniser_toutes_les_données	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	vérifier_si_terminal	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	fixer_la_fin_de_mémoire_dynamique	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	déplacer_la_fin_de_mémoire_dynamique	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	attendre_un_enfant_désigné	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	attendre_un_enfant	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
