language	concept	project_proposal
ar	allocate_memory	تخصيص الذاكرة
ar	append	إضافة إلى نهاية القائمة
ar	bitmap	خريطة التخصيص
ar	boot	إقلاع الآلة
ar	boot_record	سجل الإقلاع الرئيسي
ar	bus	مسار نقل مشترك
ar	compile_kernel	ترجمة النواة
ar	destination_port	رقم منفذ الوجهة
ar	elf	صيغة التنفيذ والربط
ar	error_number	رقم الخطأ
ar	ethernet_frame	إطار شبكة ذات وسط مشترك
ar	ethernet_header	ترويسة إطار الشبكة ذات الوسط المشترك
ar	ethernet_provider	مزود إطارات الشبكة ذات الوسط المشترك
ar	fat_parameters	معلمات نظام الملفات
ar	file_control	التحكم بالملف
ar	file_read	قراءة الملف
ar	file_status	حالة الملف
ar	file_write	كتابة الملف
ar	free_memory	تحرير الذاكرة
ar	headers	تصريحات
ar	heap	ذاكرة ديناميكية
ar	icmp	بروتوكول رسائل التحكم بالشبكة المترابطة
ar	implementation	تنفيذ
ar	insert_at	إدراج عند الفهرس
ar	internet	شبكة مترابطة
ar	ip_provider	مزود بروتوكول الشبكة المترابطة
ar	ipv4	بروتوكول الشبكة المترابطة 4
ar	link_layout	تخطيط الربط
ar	list_node	عقدة قائمة
ar	log_decoder	تحليل السجل التسلسلي
ar	mouse	جهاز تأشير
ar	page_directory	دليل الصفحات
ar	page_frame	صفحة فعلية
ar	pointer	مرجع عنوان
ar	prepend	إضافة إلى بداية القائمة
ar	register	مسجل
ar	set_coordinates	تعيين الإحداثيات المحلية
ar	source_port	رقم منفذ المصدر
ar	stack	ذاكرة مكدس
ar	startup	بدء التشغيل
ar	structure_offsets	إزاحات البنية
ar	system_call	نداء النظام
ar	tests	اختبارات
ar	toggle_bit	عكس بت التخصيص
ar	tools	أدوات
ar	udp	بروتوكول رزم المستخدم
ar	udp_header	ترويسة رزم المستخدم
ar	udp_socket	نقطة اتصال رزم المستخدم
ar	user_space	فضاء المستخدم
ar	widget	عنصر شاشة
cs	allocate_memory	přidělit paměť
cs	append	přidat na konec seznamu
cs	bitmap	mapa obsazení
cs	boot	spuštění stroje
cs	boot_record	hlavní spouštěcí záznam
cs	bus	sdílená přenosová sběrnice
cs	compile_kernel	přeložit jádro
cs	destination_port	číslo cílového portu
cs	elf	spustitelný a spojitelný formát
cs	error_number	číslo chyby
cs	ethernet_frame	rámec sítě se sdíleným médiem
cs	ethernet_header	hlavička rámce sítě se sdíleným médiem
cs	ethernet_provider	poskytovatel rámců sítě se sdíleným médiem
cs	fat_parameters	parametry souborového systému
cs	file_control	řízení souboru
cs	file_read	číst soubor
cs	file_status	stav souboru
cs	file_write	zapsat soubor
cs	free_memory	uvolnit paměť
cs	headers	deklarace
cs	heap	dynamická paměť
cs	icmp	protokol řídicích zpráv propojených sítí
cs	implementation	implementace
cs	insert_at	vložit na pozici
cs	internet	propojená síť
cs	ip_provider	poskytovatel protokolu propojených sítí
cs	ipv4	protokol propojených sítí 4
cs	link_layout	rozvržení spojování
cs	list_node	uzel seznamu
cs	log_decoder	zpracovat sériový záznam
cs	mouse	polohovací zařízení
cs	page_directory	adresář stránek
cs	page_frame	fyzická stránka
cs	pointer	odkaz na adresu
cs	prepend	přidat na začátek seznamu
cs	register	registr
cs	set_coordinates	nastavit místní souřadnice
cs	source_port	číslo zdrojového portu
cs	stack	paměť zásobníku
cs	startup	spuštění
cs	structure_offsets	posuny struktury
cs	system_call	systémové volání
cs	tests	zkoušky
cs	toggle_bit	obrátit bit obsazení
cs	tools	nástroje
cs	udp	protokol uživatelských datagramů
cs	udp_header	hlavička uživatelského datagramu
cs	udp_socket	koncový bod uživatelských datagramů
cs	user_space	uživatelský prostor
cs	widget	prvek obrazovky
de	allocate_memory	Speicher reservieren
de	append	am Listenende anfügen
de	bitmap	Belegungsbitkarte
de	boot	Maschinenstart
de	boot_record	Hauptstartdatensatz
de	bus	gemeinsamer Übertragungsweg
de	compile_kernel	Kern übersetzen
de	destination_port	Zielportnummer
de	elf	ausführbares und bindbares Format
de	error_number	Fehlernummer
