compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	capacité_de_la_ligne_d_entrée	project-proposal
MAX_ARGUMENT_COUNT	nombre_maximal_d_arguments	project-proposal
MAX_SCRIPT_DEPTH	imbrication_maximale_des_scripts	project-proposal
argument_count	nombre_d_arguments	project-proposal
arguments	arguments	project-proposal
buffer	tampon_de_transfert_2	project-proposal
bytes_read	octets_lus	project-proposal
bytes_written	nombre_d_octets_écrits	project-proposal
capacity	capacité	project-proposal
character	caractère	project-proposal
child_pid	identifiant_du_processus_enfant	project-proposal
cleanup	fermer_les_points_de_communication	project-proposal
command	commande	project-proposal
command_aliases	alias_locaux_des_commandes	project-proposal
command_cat	afficher_le_contenu_du_fichier	project-proposal
command_echo	afficher_les_arguments	project-proposal
command_matches	commande_correspondante	project-proposal
command_names	commandes_de_référence	project-proposal
command_pid	afficher_les_identifiants_des_processus	project-proposal
command_pwd	afficher_le_répertoire_courant	project-proposal
command_run	exécuter_un_programme	project-proposal
command_source	interpréter_un_fichier_de_commandes	project-proposal
command_stat	afficher_les_informations_du_fichier	project-proposal
command_udp	tester_le_retour_du_datagramme	project-proposal
command_uname	afficher_l_identité_du_système	project-proposal
current	position_courante	project-proposal
digit_text	caractères_des_chiffres	project-proposal
file_descriptor	descripteur_de_fichier_2	project-proposal
file_name	nom_du_fichier	project-proposal
input	entrée	project-proposal
input_descriptor	descripteur_d_entrée	project-proposal
input_line	ligne_d_entrée	project-proposal
input_stream	flux_d_entrée	project-proposal
left	gauche	project-proposal
length	longueur	project-proposal
message	message	project-proposal
message_length	longueur_du_message_en_octets	project-proposal
name	identité_du_système	project-proposal
number	grandeur_sans_signe	project-proposal
operation	opération	project-proposal
output	position_de_sortie	project-proposal
overflow	ligne_d_entrée_invalide	project-proposal
path	chemin	project-proposal
position	position	project-proposal
print_help	afficher_l_aide	project-proposal
quote	guillemet	project-proposal
read_line	lire_une_ligne	project-proposal
receive_address	adresse_de_réception	project-proposal
receive_socket	point_de_réception	project-proposal
received_data	données_reçues	project-proposal
received_length	nombre_d_octets_reçus	project-proposal
right	droite	project-proposal
run_input	interpréter_l_entrée	project-proposal
script_depth	profondeur_d_imbrication_des_scripts	project-proposal
send_socket	point_d_envoi	project-proposal
size	nombre_de_chiffres	project-proposal
source_address	adresse_de_l_expéditeur	project-proposal
source_address_length	longueur_de_l_adresse_de_l_expéditeur	project-proposal
split_arguments	séparer_les_arguments	project-proposal
status	état	project-proposal
text	texte	project-proposal
text_equal	textes_identiques	project-proposal
text_length	longueur_du_texte_en_octets	project-proposal
value	valeur	project-proposal
wait_status	état_de_terminaison_de_l_enfant	project-proposal
write_error	signaler_une_erreur	project-proposal
write_integer	écrire_un_entier	project-proposal
write_text	écrire_le_texte	project-proposal
