original	compiler	native	status
Activate	A激活	A激活	existing-unreviewed
ActivateAll	A激活全部	A激活全部	existing-unreviewed
Active	A活跃	A活跃	existing-unreviewed
ActiveInterruptManager	A活跃中断管理器	A活跃中断管理器	existing-unreviewed
ActiveMemoryManager	A活跃内存管理器	A活跃内存管理器	existing-unreviewed
Add	A添加	A添加	existing-unreviewed
AddDriver	A添加驱动程序	A添加驱动程序	existing-unreviewed
AddRunnableThread	A添加runnable线程	A添加runnable线程	existing-unreviewed
AddTask	A添加任务	A添加任务	existing-unreviewed
AddThread	A添加线程	A添加线程	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	Allocate块	Allocate块	existing-unreviewed
AllocatePID	Allocate进程号	Allocate进程号	existing-unreviewed
AmountOfMemory	A总量of内存	A总量of内存	existing-unreviewed
ArrayToUint16	A数组tounsignedinteger16	A数组tounsignedinteger16	existing-unreviewed
ArrayToUint32	A数组tounsignedinteger32	A数组tounsignedinteger32	existing-unreviewed
ArrayToUint48	A数组tounsignedinteger48	A数组tounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	A数组tounsignedinteger48be	A数组tounsignedinteger48be	existing-unreviewed
ArrayToUint64	A数组tounsignedinteger64	A数组tounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	B块per字节	B块per字节	existing-unreviewed
BLOCK_SIZE	B块大小	B块大小	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	B绑定	B绑定	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	Blocked状态	Blocked状态	existing-unreviewed
Blocks	B块	B块	existing-unreviewed
BoundRangeExceeded	Bound范围exceeded	Bound范围exceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	B字节persector	B字节persector	existing-unreviewed
BytesToString	B字节to字符串	B字节to字符串	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	C清除	C清除	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddress空格cow	Cloneaddress空格cow	existing-unreviewed
Connect	C连接	C连接	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	C复制页帧块	C复制页帧块	existing-unreviewed
CpuState	Cpu状态	Cpu状态	existing-unreviewed
Create	C创建	C创建	existing-unreviewed
CreateFromData	C创建from数据	C创建from数据	existing-unreviewed
CreateFromFunction	C创建from函数	C创建from函数	existing-unreviewed
CreatePtrFromFunction	C创建指针from函数	C创建指针from函数	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	C当前进程号	C当前进程号	existing-unreviewed
CurrentParentPID	C当前parent进程号	C当前parent进程号	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	D禁用	D禁用	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	D删除	D删除	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
DescriptorType	Descriptor类型	Descriptor类型	existing-unreviewed
Destroy	D摧毁	D摧毁	existing-unreviewed
Dev	D设备	D设备	existing-unreviewed
DeviceHasFunctions	D设备哈斯区函数	D设备哈斯区函数	existing-unreviewed
DeviceNotAvailable	D设备not可用	D设备not可用	existing-unreviewed
Device_id	D设备id	D设备id	existing-unreviewed
DisableInt	D禁用整型	D禁用整型	existing-unreviewed
Disconnect	D断开	D断开	existing-unreviewed
DivideByZero	D除法by零	D除法by零	existing-unreviewed
DoHandleInterrupt	Do控制器中断	Do控制器中断	existing-unreviewed
DoubleFault	D双精度故障	D双精度故障	existing-unreviewed
Draw	Draw	Draw	existing-unreviewed
DriverManager	D驱动程序管理器	D驱动程序管理器	existing-unreviewed
Ds	Ds	Ds	existing-unreviewed
Dynamic	D动态	D动态	existing-unreviewed
E2BIG	E2big	E2big	existing-unreviewed
EACCES	Eacces	Eacces	existing-unreviewed
