edition	result	canonical_sha256	shell_elf_sha256	kernel_elf_sha256
ABW	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	ad07b90bd211a863a5fcc4e955b83d046a2fac3b6330e4e6fb39099cde0c147e	219e81321523e976ccacac0ddaa28a9315ea473876efc112ee2c7c141c6ed547
AFG	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	0967a0d03ed7dc61fee2480bc3cdeaaca9cd0d501f2a605bb3d21b070b172a45
AGO	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	084bfe07e14669b89c2568b9ea7061392c6725164a7c8309d86189500b331dd9	a6e14a8403882fab100e8a88674b0c507c602560b263d9b0a4fe87fb75d57500
AIA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	f11e9cafbb8ce2966ce0e07f8f09eac66c1712ba37f15e5fc8b025e10c671446
ALA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	116de38055334673369747b26ae39d41a694622c1b0ce1375121cc7560d1edef	9c7d5071f017f4a04db0cc5d432507f67187a5bdbca8b0cfdc66c67a656fa170
ALB	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	da31f6c9fb289d2103bdc7a662df2a42ed0e7073bda67cfef9d6889b8cd86c49
AND	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	0ed736e928acf2945f02e3883c1680f2df50ec858c7feb34ade89fafee7e2df8
ARE	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	1424ef43aaa6c17346cc5ee6ec0a43af39b267de378281fadc546e96324ecf4c	cd86232c6365b6281a4bc6df80748742056959961e9c900830880487e3b6a047
ARG	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	ccf244d8638a9d5533e1ad84d2c64514331ae286b192661b1f7a5c06c062fbe7	082f74b76be8719036a83f31fd348601ca927ee57c8fbb0014a83f5694d1c70d
ARM	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	c26a2bb28c482dc6776004fffa5982457f184d51ae43df51aff56a13be0aa5ce
ASM	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	99193696e57e9cebddb0df2f66e19992aca22bd49615a40533ff3d7cdeb4246f
ATA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	7f60b188ff7b75f7e4add0907ed9ad1e1e71d4327a52ed3ab899a7b0a1577c19	b3ecb59ed77ea2ae612aea8d3d9daf68336fb0e54dfb2c964ecae8bc18dc22ef
ATF	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	34ae16e801a7ac2c1e3cc1d476d5881214de8b8419d3e8bc4a258c84785fec7c	6980b2fde639b83f30d25f7dc526a438ecf775e463eae1f940c1e82aeb140a50
ATG	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	8e8e7d8626fe0832cc00fd3bd9755be3b32392e3e22c35fe3547f69c5a4d8b52
AUS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	3c2cc66dcdfed47a59ce4258077cd18546a0d254e7b3816748f3fd0d43e54b76
AUT	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	ec51a2c31ea86b44cf93142d8ac0cf73a11a64cc3b452719d130cc8b67fa741b	b2cd2d6111a1f304fcd95642bd013a2158facfe90c592d05a88ed3a6a0adf832
AZE	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	a6fea418ae854bb19e8879ad2a338ad4b02d4f229511b0ff4c44db0d68a7b548
BDI	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	0a2b1df624813bf1601def71dede6fb08c5644236f73bb8ab491688407d4ef6a
BEL	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	ad07b90bd211a863a5fcc4e955b83d046a2fac3b6330e4e6fb39099cde0c147e	6f18241b866604383adf6a03c1e267a2d082c298ef3cc8f9d97d039fa1985f7a
BEN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	34ae16e801a7ac2c1e3cc1d476d5881214de8b8419d3e8bc4a258c84785fec7c	4e74decc264e0f92fcd8125fa41f23b51f0f8b72b70401742d942cead9be70c7
BES	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	ad07b90bd211a863a5fcc4e955b83d046a2fac3b6330e4e6fb39099cde0c147e	e7cf00c5108d93acf82e5968ed0c122964a1231539ce5d798177d9184b3fdf0d
BFA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	34ae16e801a7ac2c1e3cc1d476d5881214de8b8419d3e8bc4a258c84785fec7c	5614edfe0d118ffbbac003a031746f59546e17c5d51251ebd2be065d3f62b4a7
BGD	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	952aa0e0b7d096f1a973061d961e4ab70b5a59859238c2c19a2222f2bf6c763d	91f9522a37b0860b0ddc577c1252aa2f65cb354df1df307e5725ce4ba3be47f4
BGR	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	f0c987c54458503d1ecb0cd5e9c750949baa4fb645d2572597efe917685da9c1
BHR	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	20eea3e06a43fda2af68317d1a8ea3944ee464100474765018794da76a889f51	fa6fdedf10d17d1f60dc08cdbb6858d31e53b868cba5772d2257ddceb06387bd
BHS	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	a26423deb8d7a180940a5e2ffd9355e470203420fed2e56fd0651358a54b74d7
BIH	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	68ec6332a78096534fb5704b45285ba4085b7af1bed1947539d08c341a07c912
BIH/bs_Cyrl	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	bf66ba56864abb0ddcdf4b7d5106447d7e7e40c9ecaeb21163630e6b36ed8e5e
BIH/bs_Latn	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	2375217d8894b5a195390cfe005eb02722df3a1c49f7a403e4958dbaa7442aab
BLM	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	34ae16e801a7ac2c1e3cc1d476d5881214de8b8419d3e8bc4a258c84785fec7c	01f2f9f0f67706a5e51ec1521dfe88dae5698c002b07f76669d799d85833a220
BLR	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	0f815f298baf941578a622e9e06e8eea8fd65fefba4e259050eb63cc50b73a5c
BLZ	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	ce7c4ad4c8c9a0110042f440edc08248bae209f6465dbab9abc402ff9cc13140
BMU	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	da477dd9192e8f0ea8d9417da034cb0ae1e573052ff484853497e7e02fde8bc1
BOL	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	ccf244d8638a9d5533e1ad84d2c64514331ae286b192661b1f7a5c06c062fbe7	f96e1ee3fca816e2980d1be835c39a1ffc3d3d1aee7e6d8abd3446dfdd76d66a
BRA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	084bfe07e14669b89c2568b9ea7061392c6725164a7c8309d86189500b331dd9	e5dd48ed5b830bdc60cd76e90a1894ff5cb75ba826c882812bdc20f840fede95
BRB	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	0a8a9111d64b4a25d66e29c0bb6d4fa1d113e2e963df9e501a1a515f6e510301
BRN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	1caf251a6d0ba8e062977cbd2e4df2d9480f04590d6fa1f26eed5104fb58f085	12400136eedd609a27484dd67a9ca612b2595d05a92edf05a502e20d65bdf49b
BTN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	4c44ddd9762e501b76527329abfa1066c29fc3ff10605e94870a1563c5e36668	936020b9c679355fa2208ceca9d8eccfad1d967130101a2e8378c87f65af24f0
BVT	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	7f60b188ff7b75f7e4add0907ed9ad1e1e71d4327a52ed3ab899a7b0a1577c19	9b8f64b795588f70ed60bfef076bbf77b5c56ed669d12e091221d20e755c0e9a
BWA	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	f16b6976766aa4e9bb7fe15ed65710fb90d60ca99b1292fa8183b11e6bb3f0f8
CAF	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	34ae16e801a7ac2c1e3cc1d476d5881214de8b8419d3e8bc4a258c84785fec7c	f1e639357beaa576e1d289973ee7e31a2eb65380503ded1023c9082297a545c5
CAN	PASS	4e6ceb751117c5ecc58d4b184353901e8645f19475242a705d286e62e2ea7e70	0b9ef6960e5095c4187062a9ee037a97c86ae61d51e5c7683cc9722fef408d28	c923587c203859d0627448ddd722ed86574b20301815854a1be919d682bc518f
