compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	निवेश_पंक्ति_की_क्षमता	project-proposal
MAX_ARGUMENT_COUNT	तर्कों_की_अधिकतम_संख्या	project-proposal
MAX_SCRIPT_DEPTH	आदेश_संचिकाओं_का_अधिकतम_अंतःस्थापन	project-proposal
argument_count	तर्कों_की_संख्या	project-proposal
arguments	तर्क_सूची	project-proposal
buffer	स्थानांतरण_का_अस्थायी_भंडार_2	project-proposal
bytes_read	पढ़े_गए_बाइट	project-proposal
bytes_written	लिखे_गए_बाइटों_की_संख्या	project-proposal
capacity	क्षमता	project-proposal
character	वर्ण	project-proposal
child_pid	संतति_प्रक्रिया_का_क्रमांक	project-proposal
cleanup	संचार_सिरे_बंद_करना	project-proposal
command	आदेश	project-proposal
command_aliases	स्थानीय_आदेश_नाम	project-proposal
command_cat	संचिका_की_सामग्री_दिखाना	project-proposal
command_echo	तर्क_दिखाना	project-proposal
command_matches	आदेश_मेल_खाता_है	project-proposal
command_names	आधार_आदेश	project-proposal
command_pid	प्रक्रिया_क्रमांक_दिखाना	project-proposal
command_pwd	वर्तमान_निर्देशिका_दिखाना	project-proposal
command_run	कार्यक्रम_चलाना	project-proposal
command_source	आदेश_संचिका_का_अर्थ_निकालना	project-proposal
command_stat	संचिका_की_जानकारी_दिखाना	project-proposal
command_udp	स्वतंत्र_संदेश_की_वापसी_जाँचना	project-proposal
command_uname	प्रणाली_की_पहचान_दिखाना	project-proposal
current	वर्तमान_स्थान	project-proposal
digit_text	अंकों_के_वर्ण	project-proposal
file_descriptor	संचिका_विवरणक_2	project-proposal
file_name	संचिका_का_नाम	project-proposal
input	निवेश	project-proposal
input_descriptor	निवेश_विवरणक	project-proposal
input_line	निवेश_पंक्ति	project-proposal
input_stream	निवेश_धारा	project-proposal
left	बायाँ	project-proposal
length	लंबाई	project-proposal
message	संदेश	project-proposal
message_length	संदेश_की_बाइट_लंबाई	project-proposal
name	प्रणाली_की_पहचान	project-proposal
number	चिह्न_रहित_परिमाण	project-proposal
operation	क्रिया	project-proposal
output	निर्गम_स्थान	project-proposal
overflow	अमान्य_निवेश_पंक्ति	project-proposal
path	पथ	project-proposal
position	स्थान	project-proposal
print_help	सहायता_दिखाना	project-proposal
quote	उद्धरण_चिह्न	project-proposal
read_line	निवेश_पंक्ति_पढ़ना	project-proposal
receive_address	प्राप्तकर्ता_का_पता	project-proposal
receive_socket	प्राप्ति_संचार_सिरा	project-proposal
received_data	प्राप्त_आँकड़े	project-proposal
received_length	प्राप्त_बाइटों_की_संख्या	project-proposal
right	दायाँ	project-proposal
run_input	निवेश_का_अर्थ_निकालना	project-proposal
script_depth	आदेश_संचिकाओं_की_अंतःस्थापन_गहराई	project-proposal
send_socket	प्रेषण_संचार_सिरा	project-proposal
size	अंकों_की_संख्या	project-proposal
source_address	प्रेषक_का_पता	project-proposal
source_address_length	प्रेषक_के_पते_की_लंबाई	project-proposal
split_arguments	तर्क_अलग_करना	project-proposal
status	स्थिति	project-proposal
text	पाठ	project-proposal
text_equal	पाठ_समान_हैं	project-proposal
text_length	पाठ_की_बाइट_लंबाई	project-proposal
value	मान	project-proposal
wait_status	संतति_प्रक्रिया_की_समाप्ति_स्थिति	project-proposal
write_error	त्रुटि_बताना	project-proposal
write_integer	पूर्णांक_लिखना	project-proposal
write_text	पाठ_लिखना	project-proposal
