original	compiler	native	status
Activate	Pokreni	Покрени	existing-unreviewed
ActivateAll	PokreniSve	ПокрениСве	existing-unreviewed
Active	Aktivna	Активна	existing-unreviewed
ActiveInterruptManager	AktivnaОметањеmanager	АктивнаОметањеmanager	existing-unreviewed
ActiveMemoryManager	AktivnaMemorijamanager	АктивнаМеморијаmanager	existing-unreviewed
Add	Додај	Додај	existing-unreviewed
AddDriver	Додајdriver	Додајdriver	existing-unreviewed
AddRunnableThread	Додајrunnablethread	Додајrunnablethread	existing-unreviewed
AddTask	ДодајЗадатак	ДодајЗадатак	existing-unreviewed
AddThread	Додајthread	Додајthread	existing-unreviewed
Address	Address	Address	existing-unreviewed
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed
AllocateBlock	AllocateBlok	AllocateБлок	existing-unreviewed
AllocatePID	AllocateПИД	AllocateПИД	existing-unreviewed
AmountOfMemory	IznosodMemorija	ИзносодМеморија	existing-unreviewed
ArrayToUint16	Низtounsignedinteger16	Низtounsignedinteger16	existing-unreviewed
ArrayToUint32	Низtounsignedinteger32	Низtounsignedinteger32	existing-unreviewed
ArrayToUint48	Низtounsignedinteger48	Низtounsignedinteger48	existing-unreviewed
ArrayToUint48_BE	Низtounsignedinteger48be	Низtounsignedinteger48be	existing-unreviewed
ArrayToUint64	Низtounsignedinteger64	Низtounsignedinteger64	existing-unreviewed
Atime	Atime	Atime	existing-unreviewed
AtimeNsec	Atimensec	Atimensec	existing-unreviewed
BLOCKS_PER_BYTE	Blokperbyte	Блокperbyte	existing-unreviewed
BLOCK_SIZE	BlokВеличина	БлокВеличина	existing-unreviewed
Backend	Backend	Backend	existing-unreviewed
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed
Bind	Bind	Bind	existing-unreviewed
Blksize	Blksize	Blksize	existing-unreviewed
Blocked	Blocked	Blocked	existing-unreviewed
BlockedState	BlockedСтање	BlockedСтање	existing-unreviewed
Blocks	Blok	Блок	existing-unreviewed
BoundRangeExceeded	BoundOpsegexceeded	BoundОпсегexceeded	existing-unreviewed
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed
BytesPerSector	Bajtovapersector	Бајтоваpersector	existing-unreviewed
BytesToString	Bajtovatoниска	Бајтоваtoниска	existing-unreviewed
Checksum	Checksum	Checksum	existing-unreviewed
Clear	Очисти	Очисти	existing-unreviewed
Clone	Clone	Clone	existing-unreviewed
CloneAddressSpaceCOW	Cloneaddressrazmakcow	Cloneaddressразмакcow	existing-unreviewed
Connect	Povežise	Повежисе	existing-unreviewed
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed
CopyPageFrameBlock	УмножиlistOkvirBlok	УмножиСТРАНАОквирБлок	existing-unreviewed
CpuState	ПроцесорСтање	ПроцесорСтање	existing-unreviewed
Create	Create	Create	existing-unreviewed
CreateFromData	Createsadata	Createсаdata	existing-unreviewed
CreateFromFunction	Createsaфункција	Createсафункција	existing-unreviewed
CreatePtrFromFunction	CreatePokazivačsaфункција	CreateПоказивачсафункција	existing-unreviewed
Cs	Cs	Cs	existing-unreviewed
Ctime	Ctime	Ctime	existing-unreviewed
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed
CurrentPID	ТренутноПИД	ТренутноПИД	existing-unreviewed
CurrentParentPID	ТренутноnadređeniПИД	ТренутнонадређениПИД	existing-unreviewed
Data	Data	Data	compatibility
Deactivate	Obustavi	Обустави	existing-unreviewed
Deactive	Deactive	Deactive	existing-unreviewed
Decrement	Decrement	Decrement	existing-unreviewed
Delete	Обриши	Обриши	existing-unreviewed
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed
