compiler_identifier	native_identifier
AF_INET	internetwork_address_family_code
AF_UNSPEC	unspecified_address_family
CHAR_BIT	bits_per_byte
CHAR_MAX	char_maximum
CHAR_MIN	char_minimum
E2BIG	argument_list_too_large
EACCES	permission_denied
EADDRINUSE	address_already_in_use
EAFNOSUPPORT	address_family_not_supported
EAGAIN	temporarily_unavailable
EBADF	invalid_file_descriptor
EBUSY	resource_busy
ECHILD	no_child_process
EEXIST	file_already_exists
EFAULT	invalid_memory_address
EFBIG	file_too_large
EINTR	operation_interrupted
EINVAL	invalid_argument
EIO	input_output_error
EISDIR	is_a_directory
EMFILE	process_file_limit
EMSGSIZE	message_too_large
ENETUNREACH	network_unreachable
ENFILE	system_file_limit
ENODEV	device_missing
ENOENT	file_or_directory_missing
ENOEXEC	invalid_executable_format
ENOMEM	insufficient_memory
ENOSPC	no_storage_space
ENOSYS	function_not_implemented
ENOTCONN	endpoint_not_connected
ENOTDIR	not_a_directory
ENOTTY	inappropriate_device_operation
EOPNOTSUPP	operation_not_supported
EPERM	operation_not_permitted
EPROTONOSUPPORT	protocol_not_supported
ERANGE	value_out_of_range
EROFS	read_only_filesystem
ESPIPE	cannot_seek_stream
ESRCH	process_missing
EXIT_FAILURE	failed_exit
EXIT_SUCCESS	successful_exit
FD_CLOEXEC	close_on_program_replacement
F_DUPFD	duplicate_descriptor
F_GETFD	read_descriptor_flags
F_GETFL	read_file_status_flags
F_OK	test_existence
F_SETFD	set_descriptor_flags
F_SETFL	set_file_status_flags
INADDR_ANY	any_local_address
INADDR_LOOPBACK	loopback_address
INT_MAX	integer_maximum
INT_MIN	integer_minimum
IPPROTO_IP	default_internetwork_protocol
IPPROTO_UDP	user_datagram_protocol
LLONG_MAX	long_long_integer_maximum
LLONG_MIN	long_long_integer_minimum
LONG_MAX	long_integer_maximum
LONG_MIN	long_integer_minimum
NULL	null_pointer
O_ACCMODE	access_mode_mask
O_APPEND	append_at_end
O_CREAT	create_if_missing
O_DIRECTORY	require_directory
O_EXCL	require_new_file
O_RDONLY	open_read_only
O_RDWR	open_read_write
O_TRUNC	truncate_existing_file
O_WRONLY	open_write_only
PF_INET	internetwork_protocol_family
R_OK	test_read_permission
SC0	syscall_without_arguments
SC1	syscall_with_one_argument
SC2	syscall_with_two_arguments
SC3	syscall_with_three_arguments
SCHAR_MAX	signed_char_maximum
SCHAR_MIN	signed_char_minimum
SEEK_CUR	offset_from_current
SEEK_END	offset_from_end
SEEK_SET	offset_from_start
SHRT_MAX	short_integer_maximum
SHRT_MIN	short_integer_minimum
SHUT_RD	stop_receiving
SHUT_RDWR	stop_both_directions
SHUT_WR	stop_sending
SOCK_DGRAM	datagram_endpoint
SOCK_STREAM	stream_endpoint
STDERR_FILENO	standard_error_descriptor
STDIN_FILENO	standard_input_descriptor
STDOUT_FILENO	standard_output_descriptor
SYS_exit	SYS__exit
SYS_socketcall	socket_call_number
S_IFCHR	character_device_kind
S_IFDIR	directory_kind
S_IFMT	file_kind_mask
S_IFREG	regular_file_kind
S_IRGRP	group_read_permission
S_IROTH	others_read_permission
S_IRUSR	owner_read_permission
S_ISCHR	is_character_device_mode
S_ISDIR	is_directory_mode
S_ISREG	is_regular_file_mode
S_IWGRP	group_write_permission
S_IWOTH	others_write_permission
S_IWUSR	owner_write_permission
S_IXGRP	group_execute_permission
S_IXOTH	others_execute_permission
S_IXUSR	owner_execute_permission
UCHAR_MAX	unsigned_char_maximum
UINT_MAX	unsigned_integer_maximum
ULLONG_MAX	unsigned_long_long_maximum
ULONG_MAX	unsigned_long_maximum
USHRT_MAX	unsigned_short_maximum
WEXITSTATUS	extract_exit_status
WIFEXITED	exited_normally
WNOHANG	do_not_wait_if_unready
W_OK	test_write_permission
X_OK	test_execute_permission
_LIBC_ARPA_INET_H	_include_network_conversion_byte_order
_LIBC_NETINET_IN_H	_include_internetwork_address
_LIBC_STDDEF_H	_include_basic_definitions
_LIBC_STDINT_H	_include_integer_types
_LIBC_SYSCALL_H	_include_system_syscall
_LIBC_SYS_SOCKET_H	_include_system_socket
_LIBC_SYS_STAT_H	_include_system_stat
_LIBC_SYS_TYPES_H	_include_system_data_types
_LIBC_SYS_UTSNAME_H	_include_system_system_identity
_LIBC_SYS_WAIT_H	_include_system_child_wait
argc	argument_count_2
args_fail	argument_test_failure
args_pass	argument_test_success
argv	arguments_2
blkcnt_t	block_count_type
