edition	result	source_path	kernel_iso_sha256
KOR	PASS	나라/KOR/원문	dfd42f386ec3f28f3917549f565c22d8a5b3f3b82cf4404f6c918900242eab62
CHN	PASS	나라/CHN/源代码	e42d3960025addceb1fd82fc1a9d43489db666a5f3a153c55519ca8cc8110581
USA	PASS	나라/USA/source	a6053c112fee58ad5e8c9e8df3e5730c4483c4c0f69d044dd774ba428a1e1210
JPN	PASS	나라/JPN/原始記述	bfbf27d3f639212aa41d27c41369e99f11d7d82f9545587c9aa216c7a8fbfce0
FRA	PASS	나라/FRA/code-source	2bc5c1eb4e8ead4aaeb6d3a2e8a94fb0a2471a7633fdc8a99d81c2573de27d5c
DEU	PASS	나라/DEU/Quelltext	d0e408a6abb254ae68d79658037dddd64aa808cdff2c5b95d3f016157ad80b23
CHN/zh_Hans	PASS	문자판/CHN/zh_Hans/源代码	7fd105a7db4f1ca11ecfd018790e1743e59c0cdb601b627eaf406c86029c7f16
CHN/zh_Hant	PASS	문자판/CHN/zh_Hant/原始碼	00d24c7f838d4acb089f3d687a2f432b178cdcf370a0aea6c9962de3a665e3a4
JPN/ja_Hira	PASS	문자판/JPN/ja_Hira/げんしきじゅつ	b6bada5e570e29844333043165f20b710bfd1abaf63856fa2b30458daf8f07f3
JPN/ja_Kana	PASS	문자판/JPN/ja_Kana/ゲンシキジュツ	5ad70f36f059e6c821b337938c23f66cc7416271cfb437aa13a6bb0a7153f0c8
IND/hi_Deva	PASS	문자판/IND/hi_Deva/मूल-पाठ	f8b660bde0de908954c5814da9ed9cbd96e424670b970d99c076e58a78eefc45
IND/ta_Taml	PASS	문자판/IND/ta_Taml/மூல-உரை	104b3b77f99a95bf9a97cfb068acdbf240c2a150e6d87016a3eabba975c326fb
SRB/sr_Cyrl	PASS	문자판/SRB/sr_Cyrl/source	d5b9b82ec6799d2a431154c355d1f170ca3d39b16ea4cc78bc4772dee42f417b
