edition	case	result	program_sha256	kernel_iso_sha256
CHN/zh_Hans	core	FAIL	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	exec	FAIL	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	fork	FAIL	b25c6238c07af6a7c0681ffd2b53f39542aeed0705c053a7ddb745ab8cceaeba	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	heap	FAIL	1c0abcf9867943ebc21610ceecfcf7089fd2f40ba6ae1fb66c9240d94ff62887	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	library	FAIL	b2eac01d2cdd411c06e0014473c64651867275bdbded02b271d7dd1e0960df53	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	native	FAIL	5ea75f556a7e24f0e0192d25281adea424f5a0e0f4c7c7b0632650782ad44fca	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	socket	FAIL	84493a1648273f84a428af02dcae1adb503d54216177f8491b3f91f0076c72e5	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hans	stdin	FAIL	0edbbdbc1fb761d8a9a802ecb4ae360272defd62b4b17918ed371eedae3ef6f9	92b5bf89bbc29df26fda83e9d10f452eb69c8a9cb0d34c129c23feb3255f4b20
CHN/zh_Hant	core	FAIL	2c4553729e12802944cb217f7f721763d1927fabce0107775757d0388b0ab775	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
CHN/zh_Hant	exec	FAIL	bf2a4d3b7cc3b24e4458400a52fc6bf27acd139cc0e00902ebba96292168b6dc	c8a941a54512d799ce0369b0c44997c5dce1e96a14e3261c78fd45c280fac76b
