compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	宣言/通信番地/八桁組順序.h
include/sys/syscall.h	宣言/体系/体系呼出.h
include/errno.h	宣言/誤り番号.h
include/fcntl.h	宣言/文書制御.h
include/netinet/in.h	宣言/相互接続網/番地.h
include/stddef.h	宣言/基本定義.h
include/stdint.h	宣言/整数型.h
include/sys/socket.h	宣言/体系/通信端点.h
include/sys/stat.h	宣言/体系/文書状態.h
include/sys/types.h	宣言/体系/資料型.h
include/sys/utsname.h	宣言/体系/体系情報.h
include/sys/wait.h	宣言/体系/子の待機.h
include/unistd.h	宣言/入出力と実行.h
linker.ld	連結配置.ld
src/crt0.S	実装/起動.S
src/errno.c	実装/誤り番号.c
src/fcntl.c	実装/文書制御.c
src/socket.c	実装/通信端点.c
src/stat.c	実装/文書状態.c
src/syscall.S	実装/体系呼出.S
src/unistd.c	実装/入出力と実行.c
tests/compile.c	試験/翻訳検査.c
tests/exec_runtime.c	試験/実行内容置換試験.c
tests/exec_target.c	試験/置換実行対象.c
tests/fork_runtime.c	試験/実行過程分岐試験.c
tests/heap_runtime.c	試験/動的記憶試験.c
tests/runtime.c	試験/実行試験.c
tests/socket_runtime.c	試験/通信端点試験.c
tests/stdin_runtime.c	試験/標準入力試験.c
include/ctype.h	宣言/文字分類.h
include/limits.h	宣言/整数限界.h
include/stdlib.h	宣言/一般関数.h
include/string.h	宣言/文字列と記憶内容.h
include/strings.h	宣言/文字列大小比較.h
src/allocation.c	実装/記憶領域管理.c
src/ctype.c	実装/文字分類.c
src/stdlib.c	実装/一般関数.c
src/string.c	実装/文字列と記憶内容.c
tests/library.c	試験/関数集試験.c
tests/library_main.c	試験/関数集試験開始.c
tests/probe.c	試験/母語呼出試験.c
