compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	输入行容量	project-proposal
MAX_ARGUMENT_COUNT	最大参数个数	project-proposal
MAX_SCRIPT_DEPTH	最大命令文件嵌套层数	project-proposal
argument_count	参数个数	project-proposal
arguments	参数列表	project-proposal
buffer	传输缓冲区	project-proposal
bytes_read	已读字节数	project-proposal
bytes_written	已写字节数	project-proposal
capacity	容量	project-proposal
character	字符	project-proposal
child_pid	子进程编号	project-proposal
cleanup	关闭套接字	project-proposal
command	命令	project-proposal
command_aliases	本地语言命令别名	project-proposal
command_cat	显示文件内容	project-proposal
command_echo	显示参数	project-proposal
command_matches	命令匹配	project-proposal
command_names	基准命令	project-proposal
command_pid	显示进程编号	project-proposal
command_pwd	显示当前目录	project-proposal
command_run	运行程序	project-proposal
command_source	解释命令文件	project-proposal
command_stat	显示文件信息	project-proposal
command_udp	测试数据报回送	project-proposal
command_uname	显示系统信息	project-proposal
current	当前位置	project-proposal
digit_text	数字字符	project-proposal
file_descriptor	文件描述符	project-proposal
file_name	文件名	project-proposal
input	输入	project-proposal
input_descriptor	输入描述符	project-proposal
input_line	输入行	project-proposal
input_stream	输入流	project-proposal
left	左侧	project-proposal
length	长度	project-proposal
message	消息	project-proposal
message_length	消息字节长度	project-proposal
name	系统身份信息	project-proposal
number	无符号数值	project-proposal
operation	操作	project-proposal
output	输出位置	project-proposal
overflow	无效输入行	project-proposal
path	路径	project-proposal
position	位置	project-proposal
print_help	显示帮助	project-proposal
quote	引号	project-proposal
read_line	读取输入行	project-proposal
receive_address	接收端点地址	project-proposal
receive_socket	接收套接字	project-proposal
received_data	收到的数据	project-proposal
received_length	接收字节数	project-proposal
right	右侧	project-proposal
run_input	解释输入	project-proposal
script_depth	命令文件嵌套深度	project-proposal
send_socket	发送套接字	project-proposal
size	数位个数	project-proposal
source_address	发送端点地址	project-proposal
source_address_length	发送地址长度	project-proposal
split_arguments	拆分参数	project-proposal
status	状态	project-proposal
text	文本	project-proposal
text_equal	文本相同	project-proposal
text_length	文本字节长度	project-proposal
value	数值	project-proposal
wait_status	子进程终止状态	project-proposal
write_error	报告错误	project-proposal
write_integer	写出整数	project-proposal
write_text	写出文本	project-proposal
