identifier	status
CHECK	english-source
SC_accept	english-source
SC_bind	english-source
SC_connect	english-source
SC_getpeername	english-source
SC_getsockname	english-source
SC_listen	english-source
SC_recv	english-source
SC_recvfrom	english-source
SC_send	english-source
SC_sendto	english-source
SC_setsockopt	english-source
SC_shutdown	english-source
SC_socket	english-source
SYS_access	english-source
SYS_brk	english-source
SYS_chdir	english-source
SYS_close	english-source
SYS_creat	english-source
SYS_dup	english-source
SYS_dup2	english-source
SYS_execve	english-source
SYS_fcntl	english-source
SYS_fork	english-source
SYS_fstat	english-source
SYS_fsync	english-source
SYS_getcwd	english-source
SYS_getegid	english-source
SYS_geteuid	english-source
SYS_getgid	english-source
SYS_getpid	english-source
SYS_getppid	english-source
SYS_getuid	english-source
SYS_lseek	english-source
SYS_lstat	english-source
SYS_open	english-source
SYS_read	english-source
SYS_stat	english-source
SYS_sync	english-source
SYS_uname	english-source
SYS_write	english-source
_LIBC_CTYPE_H	english-source
_LIBC_ERRNO_H	english-source
_LIBC_FCNTL_H	english-source
_LIBC_LIMITS_H	english-source
_LIBC_STDLIB_H	english-source
_LIBC_STRINGS_H	english-source
_LIBC_STRING_H	english-source
_LIBC_UNISTD_H	english-source
__LINE__	c-or-preprocessor-syntax
__asm__	c-or-preprocessor-syntax
__attribute__	c-or-preprocessor-syntax
__builtin_va_arg	compiler-intrinsic
__builtin_va_end	compiler-intrinsic
__builtin_va_list	compiler-intrinsic
__builtin_va_start	compiler-intrinsic
__cplusplus	c-or-preprocessor-syntax
__posix_library_test	english-source
__syscall6	abi-entry-or-explicit-neutral-name
__syscall_result	abi-entry-or-explicit-neutral-name
__volatile__	c-or-preprocessor-syntax
_exit	english-source
a	english-source
a1	english-source
a2	english-source
a3	english-source
a4	english-source
a5	english-source
a6	english-source
abs	english-source
accept	english-source
access	english-source
address	english-source
address_len	english-source
address_length	english-source
args	english-source
argument	english-source
arguments	english-source
atoi	english-source
atol	english-source
available	english-source
b	english-source
backlog	english-source
bind	english-source
brk	english-source
bsearch	english-source
c	english-source
call	english-source
calloc	english-source
capacity	english-source
char	c-or-preprocessor-syntax
character	english-source
chdir	english-source
child	english-source
close	english-source
cmd	english-source
compare	english-source
compare_int	english-source
connect	english-source
const	c-or-preprocessor-syntax
copy_length	english-source
count	english-source
creat	english-source
current	english-source
cursor	english-source
define	c-or-preprocessor-syntax
delimiters	english-source
dest_addr	english-source
dest_len	english-source
destination	english-source
digit	english-source
digit_value	english-source
div	english-source
div_t	english-source
do	c-or-preprocessor-syntax
domain	english-source
dup	english-source
dup2	english-source
element_size	english-source
elements	english-source
else	c-or-preprocessor-syntax
end_pointer	english-source
endif	c-or-preprocessor-syntax
enum	c-or-preprocessor-syntax
environ	english-source
envp	english-source
errno	english-source
execve	english-source
extern	c-or-preprocessor-syntax
fcntl	english-source
first_match	english-source
flags	english-source
for	c-or-preprocessor-syntax
fork	english-source
found	english-source
free	english-source
fstat	english-source
fsync	english-source
getcwd	english-source
getegid	english-source
getenv	english-source
geteuid	english-source
getgid	english-source
getpeername	english-source
getpid	english-source
getppid	english-source
getsockname	english-source
getuid	english-source
goto	c-or-preprocessor-syntax
heap_block	english-source
heap_head	english-source
high	english-source
hole	english-source
how	english-source
htonl	english-source
htons	english-source
if	c-or-preprocessor-syntax
ifdef	c-or-preprocessor-syntax
ifndef	c-or-preprocessor-syntax
include	c-or-preprocessor-syntax
increment	english-source
index	english-source
input	english-source
int	c-or-preprocessor-syntax
is_unsigned	english-source
isalnum	english-source
isalpha	english-source
isatty	english-source
isblank	english-source
iscntrl	english-source
isdigit	english-source
isgraph	english-source
islower	english-source
isprint	english-source
ispunct	english-source
isspace	english-source
isupper	english-source
isxdigit	english-source
labs	english-source
last_block	english-source
ldiv	english-source
ldiv_t	english-source
left	english-source
length	english-source
level	english-source
limit	english-source
listen	english-source
long	c-or-preprocessor-syntax
low	english-source
lseek	english-source
lstat	english-source
m	english-source
magnitude	english-source
main	abi-entry-or-explicit-neutral-name
malloc	english-source
maximum	english-source
memchr	english-source
memcmp	english-source
memcpy	english-source
memmove	english-source
memset	english-source
message	english-source
middle	english-source
mode	english-source
n	english-source
negative	english-source
newfd	english-source
next_block	english-source
noreturn	c-or-preprocessor-syntax
ntohl	english-source
ntohs	english-source
number	english-source
offset	english-source
oflag	english-source
oldfd	english-source
open	english-source
option_len	english-source
option_name	english-source
option_value	english-source
options	english-source
overflow	english-source
padding	english-source
parse_unsigned	english-source
path	english-source
pid	english-source
protocol	english-source
qsort	english-source
quot	english-source
radix	english-source
raw	english-source
read	english-source
realloc	english-source
recv	english-source
recvfrom	english-source
rem	english-source
requested	english-source
result	english-source
return	c-or-preprocessor-syntax
right	english-source
saved_environment	english-source
saved_state	english-source
sbrk	english-source
send	english-source
sendto	english-source
setsockopt	english-source
short	c-or-preprocessor-syntax
shutdown	english-source
sift_down	english-source
signed	c-or-preprocessor-syntax
sizeof	c-or-preprocessor-syntax
socket	english-source
socket_call	english-source
source	english-source
st	english-source
stat	english-source
static	c-or-preprocessor-syntax
status	english-source
stpcpy	english-source
stpncpy	english-source
strcasecmp	english-source
strcat	english-source
strchr	english-source
strcmp	english-source
strcoll	english-source
strcpy	english-source
strcspn	english-source
strdup	english-source
strlen	english-source
strncasecmp	english-source
strncat	english-source
strncmp	english-source
strncpy	english-source
strndup	english-source
strnlen	english-source
strpbrk	english-source
strrchr	english-source
strspn	english-source
strstr	english-source
strtok	english-source
strtok_r	english-source
strtol	english-source
strtoul	english-source
struct	c-or-preprocessor-syntax
strxfrm	english-source
swap_elements	english-source
sync	english-source
temporary	english-source
test_line	english-source
test_open_and_io	english-source
text	english-source
tolower	english-source
total	english-source
toupper	english-source
type	english-source
typedef	c-or-preprocessor-syntax
uname	english-source
unsigned	c-or-preprocessor-syntax
value	english-source
void	c-or-preprocessor-syntax
volatile	c-or-preprocessor-syntax
wait	english-source
waitpid	english-source
whence	english-source
while	c-or-preprocessor-syntax
write	english-source
