function	native_identifier	implementation	limits
_exit	立即結束	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	讀取	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	寫入	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	關閉	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	移動讀寫位置	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	分出子行程	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	替換執行內容	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	取得行程編號	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	取得父行程編號	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	取得使用者編號	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	取得有效使用者編號	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	取得群組編號	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	取得有效群組編號	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	檢查存取權限	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	切換工作目錄	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	取得工作目錄路徑	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	複製開啟檔案參照	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	按指定編號複製檔案參照	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	同步檔案記錄	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	同步全部記錄	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	檢查是否終端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	設定動態記憶末端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	移動動態記憶末端	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	等待指定子行程	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	等待子行程	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	開啟	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	建立檔案	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	控制檔案	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	檔案狀態	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	取得連結自身狀態	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	取得開啟檔案狀態	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	取得系統資訊	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
