compiler_identifier	native_identifier
AF_INET	そうごせつぞくもうばんちけいとう
AF_UNSPEC	ばんちけいとうみしてい
CHAR_BIT	はちけたぐみのにしんけたすう
CHAR_MAX	もじせいすうさいだいち
CHAR_MIN	もじせいすうさいしょうち
CHECK	じょうけんかくにん
E2BIG	あやまりひきすういちらんかだい
EACCES	あやまりりようけんげんなし
EADDRINUSE	あやまりばんちしようちゅう
EAFNOSUPPORT	あやまりばんちけいとうひたいおう
EAGAIN	あやまりいちじりようふか
EBADF	あやまりきじゅつばんごうふせい
EBUSY	あやまりしげんしようちゅう
ECHILD	あやまりこじっこうかていなし
EEXIST	あやまりぶんしょきそん
EFAULT	あやまりきおくばんちふせい
EFBIG	あやまりぶんしょかだい
EINTR	あやまりそうさちゅうだん
EINVAL	あやまりひきすうふせい
EIO	あやまりにゅうしゅつりょくしっぱい
EISDIR	あやまりもくろくである
EMFILE	あやまりかていぶんしょすうじょうげん
EMSGSIZE	あやまりでんぶんかだい
ENETUNREACH	あやまりつうしんもうとうたつふか
ENFILE	あやまりたいけいぶんしょすうじょうげん
ENODEV	あやまりそうちなし
ENOENT	あやまりぶんしょまたはもくろくなし
ENOEXEC	あやまりじっこうけいしきふせい
ENOMEM	あやまりきおくぶそく
ENOSPC	あやまりほぞんりょういきぶそく
ENOSYS	あやまりきのうみじっそう
ENOTCONN	あやまりたんてんみせつぞく
ENOTDIR	あやまりもくろくでない
ENOTTY	あやまりそうちふてきごうそうさ
EOPNOTSUPP	あやまりそうさひたいおう
EPERM	あやまりそうさふきょか
EPROTONOSUPPORT	あやまりきやくひたいおう
ERANGE	あやまりちはんいがい
EROFS	あやまりよみとりせんようぶんしょたいけい
ESPIPE	あやまりながれいちいどうふか
ESRCH	あやまりじっこうかていなし
EXIT_FAILURE	しっぱいしゅうりょう
EXIT_SUCCESS	せいこうしゅうりょう
FD_CLOEXEC	じっこうないようちかんじにとじる
F_DUPFD	きじゅつばんごうふくせい
F_GETFD	きじゅつばんごうひょうしきしゅとく
F_GETFL	ぶんしょじょうたいひょうしきしゅとく
F_OK	そんざいかくにん
F_SETFD	きじゅつばんごうひょうしきせってい
F_SETFL	ぶんしょじょうたいひょうしきせってい
INADDR_ANY	すべてのきょくしょばんち
INADDR_LOOPBACK	じこおりかえしばんち
INT_MAX	せいすうさいだいち
INT_MIN	せいすうさいしょうち
IPPROTO_IP	そうごせつぞくもうきほんきやく
IPPROTO_UDP	りようしゃしりょうでんぶんきやく
LLONG_MAX	ちょうちょうせいすうさいだいち
LLONG_MIN	ちょうちょうせいすうさいしょうち
LONG_MAX	ちょうせいすうさいだいち
LONG_MIN	ちょうせいすうさいしょうち
NULL	からばんち
O_ACCMODE	りようほうしきちゅうしゅつち
O_APPEND	まつびへついかする
O_CREAT	なければつくる
O_DIRECTORY	もくろくのみゆるす
O_EXCL	しんきぶんしょのみゆるす
O_RDONLY	よみとりせんようでひらく
O_RDWR	よみかきりょうようでひらく
O_TRUNC	きぞんないようをからにする
O_WRONLY	かきこみせんようでひらく
PF_INET	そうごせつぞくもうきやくけいとう
R_OK	よみとりけんげんかくにん
SC0	ひきすうなしたいけいよびだし
SC1	ひきすうひとつたいけいよびだし
SC2	ひきすうふたつたいけいよびだし
SC3	ひきすうみっつたいけいよびだし
SCHAR_MAX	ふごうつきもじせいすうさいだいち
SCHAR_MIN	ふごうつきもじせいすうさいしょうち
SC_accept	つうしんたんてん_せつぞくようきゅうをうけいれる
SC_bind	つうしんたんてん_きょくしょばんちをむすぶ
SC_connect	つうしんたんてん_あいてたんてんにつなぐ
SC_getpeername	つうしんたんてん_あいてたんてんのばんちをえる
SC_getsockname	つうしんたんてん_きょくしょたんてんのばんちをえる
SC_listen	つうしんたんてん_せつぞくようきゅうにそなえる
SC_recv	つうしんたんてん_うけとる
SC_recvfrom	つうしんたんてん_そうしんもととともにうけとる
SC_send	つうしんたんてん_おくる
SC_sendto	つうしんたんてん_あてさきにおくる
SC_setsockopt	つうしんたんてん_つうしんたんてんをせっていする
SC_shutdown	つうしんたんてん_つうしんほうこうをとじる
SC_socket	つうしんたんてん_つうしんたんてんをつくる
SEEK_CUR	げんざいきじゅんいち
SEEK_END	まつびきじゅんいち
SEEK_SET	せんとうきじゅんいち
SHRT_MAX	たんせいすうさいだいち
SHRT_MIN	たんせいすうさいしょうち
SHUT_RD	じゅしんていし
SHUT_RDWR	そうほうこうていし
SHUT_WR	そうしんていし
SOCK_DGRAM	しりょうでんぶんたんてん
SOCK_STREAM	しりょうりゅうたんてん
STDERR_FILENO	ひょうじゅんあやまりしゅつりょくばんごう
STDIN_FILENO	ひょうじゅんにゅうりょくばんごう
