compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	にゅうりょくぎょうようりょう	project-proposal
MAX_ARGUMENT_COUNT	さいだいひきすうすう	project-proposal
MAX_SCRIPT_DEPTH	めいれいぶんしょのさいだいいれこすう	project-proposal
argument_count	ひきすうのかず_2	project-proposal
arguments	ひきすうれつ	project-proposal
buffer	てんそうかんしょうりょういき	project-proposal
bytes_read	よんだはちけたぐみのかず	project-proposal
bytes_written	かきだしたはちけたぐみすう	project-proposal
capacity	ようりょう	project-proposal
character	もじ	project-proposal
child_pid	こじっこうかていのばんごう	project-proposal
cleanup	つうしんたんてんをとじる	project-proposal
command	めいれい	project-proposal
command_aliases	げんちごめいれいべつめい	project-proposal
command_cat	ぶんしょのないようをひょうじする	project-proposal
command_echo	ひきすうをひょうじする	project-proposal
command_matches	めいれいがいっちする	project-proposal
command_names	きじゅんめいれい	project-proposal
command_pid	じっこうかていのばんごうをしめす	project-proposal
command_pwd	げんざいのばしょをしめす	project-proposal
command_run	じっこうけいしきをきどうする	project-proposal
command_source	めいれいぶんしょをかいしゃくする	project-proposal
command_stat	ぶんしょのじょうほうをしめす	project-proposal
command_udp	どくりつでんぶんのおりかえしをためす	project-proposal
command_uname	きほんたいけいのじょうほうをしめす	project-proposal
current	げんざいいち	project-proposal
digit_text	すうじのもじれつ	project-proposal
file_descriptor	ぶんしょきじゅつばんごう_2	project-proposal
file_name	ぶんしょめい	project-proposal
input	にゅうりょく	project-proposal
input_descriptor	にゅうりょくきじゅつばんごう	project-proposal
input_line	にゅうりょくぎょう	project-proposal
input_stream	にゅうりょくしりょうりゅう	project-proposal
left	ひだり	project-proposal
length	ながさ	project-proposal
message	でんぶん	project-proposal
message_length	でんぶんのはちけたぐみすう	project-proposal
name	たいけいしきべつじょうほう	project-proposal
number	ふごうなしのおおきさ	project-proposal
operation	しょり	project-proposal
output	しゅつりょくいち	project-proposal
overflow	ふせいなにゅうりょくぎょう	project-proposal
path	けいろ	project-proposal
position	いち	project-proposal
print_help	つかいかたをしめす	project-proposal
quote	いんようふ	project-proposal
read_line	にゅうりょくぎょうをよむ	project-proposal
receive_address	じゅしんたんてんのばんち	project-proposal
receive_socket	じゅしんつうしんたんてん	project-proposal
received_data	じゅしんしりょう	project-proposal
received_length	じゅしんはちけたぐみすう	project-proposal
right	みぎ	project-proposal
run_input	にゅうりょくをかいしゃくする	project-proposal
script_depth	めいれいぶんしょのいれこのふかさ	project-proposal
send_socket	そうしんつうしんたんてん	project-proposal
size	けたすう	project-proposal
source_address	そうしんたんてんのばんち	project-proposal
source_address_length	そうしんもとばんちのながさ	project-proposal
split_arguments	ひきすうをわける	project-proposal
status	じょうたい	project-proposal
text	もじれつ	project-proposal
text_equal	もじれついっち	project-proposal
text_length	もじれつのはちけたぐみすう	project-proposal
value	あたい	project-proposal
wait_status	こじっこうかていのしゅうりょうじょうたい	project-proposal
write_error	あやまりをしらせる	project-proposal
write_integer	せいすうをかきだす	project-proposal
write_text	もじれつをかきだす	project-proposal
