compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	input_line_capacity	project-proposal
MAX_ARGUMENT_COUNT	maximum_argument_count	project-proposal
MAX_SCRIPT_DEPTH	maximum_script_nesting	project-proposal
argument_count	argument_count	project-proposal
arguments	arguments	project-proposal
buffer	transfer_buffer_2	project-proposal
bytes_read	bytes_read	project-proposal
bytes_written	written_byte_count	project-proposal
capacity	capacity	project-proposal
character	character	project-proposal
child_pid	child_process_identifier	project-proposal
cleanup	close_sockets	project-proposal
command	command	project-proposal
command_aliases	native_command_aliases	project-proposal
command_cat	display_file_contents	project-proposal
command_echo	print_arguments	project-proposal
command_matches	command_matches	project-proposal
command_names	canonical_commands	project-proposal
command_pid	show_process_identifiers	project-proposal
command_pwd	show_working_directory	project-proposal
command_run	run_program	project-proposal
command_source	interpret_command_file	project-proposal
command_stat	show_file_information	project-proposal
command_udp	test_datagram_loopback	project-proposal
command_uname	show_system_identity	project-proposal
current	current	project-proposal
digit_text	digit_characters	project-proposal
file_descriptor	file_descriptor	project-proposal
file_name	file_name	project-proposal
input	input	project-proposal
input_descriptor	input_descriptor	project-proposal
input_line	input_line	project-proposal
input_stream	input_stream	project-proposal
left	left	project-proposal
length	length	project-proposal
message	message	project-proposal
message_length	message_byte_length	project-proposal
name	system_identity	project-proposal
number	unsigned_magnitude	project-proposal
operation	operation	project-proposal
output	output	project-proposal
overflow	invalid_input_line	project-proposal
path	path	project-proposal
position	position	project-proposal
print_help	show_help	project-proposal
quote	quote	project-proposal
read_line	read_input_line	project-proposal
receive_address	receiving_endpoint_address	project-proposal
receive_socket	receiving_socket	project-proposal
received_data	received_data	project-proposal
received_length	received_byte_count	project-proposal
right	right	project-proposal
run_input	interpret_input	project-proposal
script_depth	script_nesting_depth	project-proposal
send_socket	sending_socket	project-proposal
size	digit_count	project-proposal
source_address	sender_endpoint_address	project-proposal
source_address_length	sender_address_length	project-proposal
split_arguments	split_arguments	project-proposal
status	status	project-proposal
text	text	project-proposal
text_equal	texts_equal	project-proposal
text_length	text_byte_length	project-proposal
value	value	project-proposal
wait_status	child_termination_status	project-proposal
write_error	report_error	project-proposal
write_integer	write_integer	project-proposal
write_text	write_text	project-proposal
