compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	girdi_satırı_kapasitesi	project-proposal
MAX_ARGUMENT_COUNT	en_fazla_bağımsız_değişken_sayısı	project-proposal
MAX_SCRIPT_DEPTH	en_fazla_komut_dosyası_iç_içeliği	project-proposal
argument_count	bağımsız_değişken_sayısı	project-proposal
arguments	bağımsız_değişkenler	project-proposal
buffer	aktarım_ara_belleği_2	project-proposal
bytes_read	okunan_baytlar	project-proposal
bytes_written	yazılan_bayt_sayısı	project-proposal
capacity	kapasite	project-proposal
character	karakter	project-proposal
child_pid	çocuk_süreç_kimliği	project-proposal
cleanup	iletişim_uçlarını_kapat	project-proposal
command	komut	project-proposal
command_aliases	yerel_komut_adları	project-proposal
command_cat	dosya_içeriğini_göster	project-proposal
command_echo	bağımsız_değişkenleri_göster	project-proposal
command_matches	komut_eşleşiyor	project-proposal
command_names	temel_komutlar	project-proposal
command_pid	süreç_kimliklerini_göster	project-proposal
command_pwd	çalışma_dizinini_göster	project-proposal
command_run	programı_çalıştır	project-proposal
command_source	komut_dosyasını_yorumla	project-proposal
command_stat	dosya_bilgilerini_göster	project-proposal
command_udp	veri_birimi_geri_dönüşünü_sına	project-proposal
command_uname	sistem_kimliğini_göster	project-proposal
current	geçerli_konum	project-proposal
digit_text	rakam_karakterleri	project-proposal
file_descriptor	dosya_tanımlayıcısı_2	project-proposal
file_name	dosya_adı	project-proposal
input	girdi	project-proposal
input_descriptor	girdi_tanımlayıcısı	project-proposal
input_line	girdi_satırı	project-proposal
input_stream	girdi_akışı	project-proposal
left	sol	project-proposal
length	uzunluk	project-proposal
message	ileti	project-proposal
message_length	iletinin_bayt_uzunluğu	project-proposal
name	sistem_kimliği	project-proposal
number	işaretsiz_büyüklük	project-proposal
operation	işlem	project-proposal
output	çıktı_konumu	project-proposal
overflow	geçersiz_girdi_satırı	project-proposal
path	yol	project-proposal
position	konum	project-proposal
print_help	yardım_göster	project-proposal
quote	tırnak	project-proposal
read_line	girdi_satırını_oku	project-proposal
receive_address	alıcı_adresi	project-proposal
receive_socket	alıcı_iletişim_ucu	project-proposal
received_data	alınan_veri	project-proposal
received_length	alınan_bayt_sayısı	project-proposal
right	sağ	project-proposal
run_input	girdiyi_yorumla	project-proposal
script_depth	komut_dosyası_iç_içelik_derinliği	project-proposal
send_socket	gönderici_iletişim_ucu	project-proposal
size	rakam_sayısı	project-proposal
source_address	gönderen_adresi	project-proposal
source_address_length	gönderen_adresinin_uzunluğu	project-proposal
split_arguments	bağımsız_değişkenleri_ayır	project-proposal
status	durum	project-proposal
text	metin	project-proposal
text_equal	metinler_eşit	project-proposal
text_length	metnin_bayt_uzunluğu	project-proposal
value	değer	project-proposal
wait_status	çocuk_sürecin_sonlanma_durumu	project-proposal
write_error	hata_bildir	project-proposal
write_integer	tam_sayı_yaz	project-proposal
write_text	metin_yaz	project-proposal
