compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	syöterivin_kapasiteetti	project-proposal
MAX_ARGUMENT_COUNT	argumenttien_enimmäismäärä	project-proposal
MAX_SCRIPT_DEPTH	komentotiedostojen_enimmäissisäkkäisyys	project-proposal
argument_count	argumenttien_määrä	project-proposal
arguments	argumentit	project-proposal
buffer	siirtopuskuri_2	project-proposal
bytes_read	luetut_tavut	project-proposal
bytes_written	kirjoitettujen_tavujen_määrä	project-proposal
capacity	kapasiteetti	project-proposal
character	merkki	project-proposal
child_pid	lapsiprosessin_tunnus	project-proposal
cleanup	sulje_yhteyspisteet	project-proposal
command	komento	project-proposal
command_aliases	paikalliset_komentonimet	project-proposal
command_cat	näytä_tiedoston_sisältö	project-proposal
command_echo	näytä_argumentit	project-proposal
command_matches	komento_täsmää	project-proposal
command_names	peruskomennot	project-proposal
command_pid	näytä_prosessitunnukset	project-proposal
command_pwd	näytä_työhakemisto	project-proposal
command_run	suorita_ohjelma	project-proposal
command_source	tulkitse_komentotiedosto	project-proposal
command_stat	näytä_tiedoston_tiedot	project-proposal
command_udp	testaa_tietosähkeen_palautus	project-proposal
command_uname	näytä_järjestelmätiedot	project-proposal
current	nykyinen_paikka	project-proposal
digit_text	numeromerkit	project-proposal
file_descriptor	tiedostokuvaaja_2	project-proposal
file_name	tiedoston_nimi	project-proposal
input	syöte	project-proposal
input_descriptor	syötekuvaaja	project-proposal
input_line	syöterivi	project-proposal
input_stream	syötevirta	project-proposal
left	vasen	project-proposal
length	pituus	project-proposal
message	viesti	project-proposal
message_length	viestin_pituus_tavuina	project-proposal
name	järjestelmätiedot	project-proposal
number	etumerkitön_suuruus	project-proposal
operation	toiminto	project-proposal
output	tulostuspaikka	project-proposal
overflow	virheellinen_syöterivi	project-proposal
path	polku	project-proposal
position	paikka	project-proposal
print_help	näytä_ohje	project-proposal
quote	lainausmerkki	project-proposal
read_line	lue_syöterivi	project-proposal
receive_address	vastaanottajan_osoite	project-proposal
receive_socket	vastaanottava_yhteyspiste	project-proposal
received_data	vastaanotetut_tiedot	project-proposal
received_length	vastaanotettujen_tavujen_määrä	project-proposal
right	oikea	project-proposal
run_input	tulkitse_syöte	project-proposal
script_depth	komentotiedostojen_sisäkkäisyyssyvyys	project-proposal
send_socket	lähettävä_yhteyspiste	project-proposal
size	numeroiden_määrä	project-proposal
source_address	lähettäjän_osoite	project-proposal
source_address_length	lähettäjän_osoitteen_pituus	project-proposal
split_arguments	erota_argumentit	project-proposal
status	tila	project-proposal
text	teksti	project-proposal
text_equal	tekstit_samat	project-proposal
text_length	tekstin_pituus_tavuina	project-proposal
value	arvo	project-proposal
wait_status	lapsiprosessin_päättymistila	project-proposal
write_error	ilmoita_virhe	project-proposal
write_integer	kirjoita_kokonaisluku	project-proposal
write_text	kirjoita_teksti	project-proposal
