function	native_identifier	implementation	limits
_exit	ただちにしゅうりょうする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	よむ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	かく	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	とじる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	よみかきいちをうつす	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	じっこうかていをぶんきする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	じっこうないようをおきかえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	じっこうかていばんごうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	おやじっこうかていばんごうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	りようしゃばんごうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	じっこうりようしゃばんごうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	しょぞくくみばんごうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	じっこうしょぞくくみばんごうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	りようけんげんをしらべる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	さぎょうもくろくをかえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	さぎょうもくろくのけいろをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	ひらいたぶんしょのさんしょうをふくせいする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	していばんごうにぶんしょさんしょうをふくせいする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	ぶんしょのきろくをどうきする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	すべてのきろくをどうきする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	たんまつかしらべる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	どうてききおくのしゅうたんをさだめる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	どうてききおくのしゅうたんをうつす	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	していしたこをまつ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	こをまつ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	ひらく	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	ぶんしょをつくる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	ぶんしょをせいぎょする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	ぶんしょじょうたい	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	れんけつじたいのじょうたいをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	ひらいたぶんしょのじょうたいをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	たいけいじょうほうをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	つうしんもうじゅんに16けたをかえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	きかいじゅんに16けたをかえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	つうしんもうじゅんに32けたをかえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	きかいじゅんに32けたをかえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	つうしんたんてんをつくる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	きょくしょばんちをむすぶ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	あいてたんてんにつなぐ	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	せつぞくようきゅうにそなえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	せつぞくようきゅうをうけいれる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	きょくしょたんてんのばんちをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	あいてたんてんのばんちをえる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	おくる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	うけとる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	あてさきにおくる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	そうしんもととともにうけとる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	つうしんほうこうをとじる	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	つうしんたんてんをせっていする	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	きおくないようをふくしゃする	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	かさなりをゆるしてきおくないようをうつす	userspace-library	single-thread;C-locale;byte-strings;i386
memset	きおくりょういきをあたいでみたす	userspace-library	single-thread;C-locale;byte-strings;i386
memcmp	きおくないようをひかくする	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	きおくりょういきからあたいをさがす	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	もじれつのはちけたぐみすうをえる	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	じょうげんないのもじれつはちけたぐみすうをえる	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	もじれつをふくしゃする	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	じょうげんまでうめてもじれつをふくしゃする	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	もじれつをふくしゃしてしゅうたんをえる	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	じょうげんまでうめてふくしゃししゅうたんをえる	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	もじれつをつけたす	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	じょうげんないでもじれつをつけたす	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	もじれつをひかくする	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	じょうげんないでもじれつをひかくする	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	せいれつきそくでもじれつをひかくする	userspace-library	single-thread;C-locale;byte-strings;i386
strxfrm	もじれつのせいれつかぎをつくる	userspace-library	single-thread;C-locale;byte-strings;i386
strchr	もじれつからさいしょのあたいをさがす	userspace-library	single-thread;C-locale;byte-strings;i386
strrchr	もじれつからさいごのあたいをさがす	userspace-library	single-thread;C-locale;byte-strings;i386
strstr	もじれつからぶぶんれつをさがす	userspace-library	single-thread;C-locale;byte-strings;i386
strspn	きょようちからなるせんとうちょうをえる	userspace-library	single-thread;C-locale;byte-strings;i386
strcspn	じょがいちのないせんとうちょうをえる	userspace-library	single-thread;C-locale;byte-strings;i386
strpbrk	もじれつからしゅうごうのあたいをさがす	userspace-library	single-thread;C-locale;byte-strings;i386
strtok	もじれつをごにわける	userspace-library	single-thread;C-locale;byte-strings;i386
strtok_r	しんこうじょうたいをしていしてもじれつをごにわける	userspace-library	single-thread;C-locale;byte-strings;i386
strdup	あたらしいりょういきにもじれつをふくせいする	userspace-library	single-thread;C-locale;byte-strings;i386
strndup	じょうげんないであたらしいりょういきにもじれつをふくせいする	userspace-library	single-thread;C-locale;byte-strings;i386
strcasecmp	おおもじこもじをくべつせずひかくする	userspace-library	single-thread;C-locale;byte-strings;i386
strncasecmp	じょうげんないでおおもじこもじをくべつせずひかくする	userspace-library	single-thread;C-locale;byte-strings;i386
isalnum	えいじかすうじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isalpha	えいじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isblank	すいへいくうはくかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
iscntrl	せいぎょもじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isdigit	じゅっしんすうじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isgraph	くうはくいがいのいんじもじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
islower	こもじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isprint	いんじもじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
ispunct	くとうきごうかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isspace	くうはくもじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isupper	おおもじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
isxdigit	じゅうろくしんすうじかしらべる	userspace-library	single-thread;C-locale;byte-strings;i386
tolower	こもじにかえる	userspace-library	single-thread;C-locale;byte-strings;i386
toupper	おおもじにかえる	userspace-library	single-thread;C-locale;byte-strings;i386
malloc	きおくりょういきをかくほする	userspace-library	single-thread;C-locale;byte-strings;i386
calloc	れいでみたしたはいれつりょういきをかくほする	userspace-library	single-thread;C-locale;byte-strings;i386
realloc	きおくりょういきのおおきさをかえる	userspace-library	single-thread;C-locale;byte-strings;i386
free	きおくりょういきをかえす	userspace-library	single-thread;C-locale;byte-strings;i386
strtol	もじれつをちょうせいすうとしてよむ	userspace-library	single-thread;C-locale;byte-strings;i386
strtoul	もじれつをふごうなしちょうせいすうとしてよむ	userspace-library	single-thread;C-locale;byte-strings;i386
atoi	じゅっしんもじれつをせいすうとしてよむ	userspace-library	single-thread;C-locale;byte-strings;i386
atol	じゅっしんもじれつをちょうせいすうとしてよむ	userspace-library	single-thread;C-locale;byte-strings;i386
abs	せいすうのぜったいちをえる	userspace-library	single-thread;C-locale;byte-strings;i386
labs	ちょうせいすうのぜったいちをえる	userspace-library	single-thread;C-locale;byte-strings;i386
div	せいすうのしょうとあまりをえる	userspace-library	single-thread;C-locale;byte-strings;i386
ldiv	ちょうせいすうのしょうとあまりをえる	userspace-library	single-thread;C-locale;byte-strings;i386
qsort	ひかくきじゅんでせいれつする	userspace-library	single-thread;C-locale;byte-strings;i386
bsearch	せいれつずみはいれつをにぶんたんさくする	userspace-library	single-thread;C-locale;byte-strings;i386
getenv	かんきょうへんすうのあたいをえる	userspace-library	single-thread;C-locale;byte-strings;i386
