compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/conversión_de_direcciones/orden_de_octetos.h
include/sys/syscall.h	include/sistema/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/entre_redes/dirección.h
include/stddef.h	include/definiciones_básicas.h
include/stdint.h	include/tipos_enteros.h
include/sys/socket.h	include/sistema/socket.h
include/sys/stat.h	include/sistema/stat.h
include/sys/types.h	include/sistema/tipos_de_datos.h
include/sys/utsname.h	include/sistema/identidad_del_sistema.h
include/sys/wait.h	include/sistema/espera_de_hijos.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/prueba_de_compilación.c
tests/exec_runtime.c	tests/prueba_de_sustitución_del_programa.c
tests/exec_target.c	tests/destino_de_sustitución.c
tests/fork_runtime.c	tests/prueba_de_bifurcación_del_proceso.c
tests/heap_runtime.c	tests/prueba_de_memoria_dinámica.c
tests/runtime.c	tests/prueba_de_ejecución.c
tests/socket_runtime.c	tests/prueba_de_extremo.c
tests/stdin_runtime.c	tests/prueba_de_entrada_estándar.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
